perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
37,-2.271518271697342,0.8832542973665767,3.154772569063918,-1.256388279283338,-1.8083737128730237,-0.04538180988486142,-0.01164054933742027,49,46,40,34,True,True,0.9163609131809972,0.8955563173149794
38,-5.408652037961141,0.8126919114409908,6.221343949402132,-1.8563367596415914,-1.9332762112211577,-0.05861864519940703,-0.016923536473399732,48,45,41,34,True,True,0.9163401881659258,0.8955666601701849
39,-2.3035762472724515,0.8984916302508676,3.2020678775233193,-1.3841833759089373,-2.2916385682490326,-0.04466925816184641,-0.022508782163017375,49,46,40,35,True,True,0.9165076184670021,0.8952738809976964
40,-2.255366574957139,0.7097778220047557,2.965144396961895,-1.297273548942357,-2.0754726376814583,-0.04509121365467337,-0.022029754413158766,49,45,40,35,True,True,0.9162543907056121,0.8948051484214704
41,-2.112403730927533,0.6677590984346462,2.7801628293621796,-1.5332180522177163,-1.9523176264464093,-0.04578786370424788,-0.024983724818527092,49,46,40,35,True,True,0.9164497826192007,0.8946239034452482
42,-5.250092603484721,0.48789627693386933,5.73798888041859,-1.769046059829521,-2.0682958562581124,-0.059058404704180986,-0.03761795349400103,49,45,41,36,True,True,0.916507258899485,0.8948771842943067
43,-2.518546373225209,0.6916121800749693,3.2101585533001784,-1.3003268742324825,-1.805974004017935,-0.04549830248684115,-0.034352420402292784,49,46,40,36,True,True,0.916393014739432,0.8955831169014006
44,-5.840519925258647,0.37461039233468235,6.21513031759333,-1.507921753653474,-1.8185040128378183,-0.07129481726151293,-0.03334015715140488,50,45,42,36,True,True,0.9163722650802628,0.8954605157070017
45,-2.3812889082080386,0.6282573474416391,3.0095462556496777,-1.5931881386216207,-1.7154769489386934,-0.044569793224957535,-0.023018217183813947,48,46,40,35,True,True,0.9163067389941876,0.8955795431738217
46,-2.224927587144772,0.6667632155220797,2.8916908026668517,-1.6941246209910832,-1.8100020545587958,-0.0449474451257728,-0.028064170201719914,49,45,40,35,True,True,0.9164344465405219,0.8952236010320701
47,-2.4278211963384515,0.4615376073632706,2.889358803701722,-1.724087837050886,-1.3389848755667566,-0.04575049909110752,-0.023349751233358453,48,44,40,35,True,True,0.9165141677195494,0.8953709789160722
48,-2.3161774558708714,0.49305421722859066,2.809231673099462,-1.4162302985793518,-1.8318906650394484,-0.04595223846056268,-0.03495849336817131,49,45,40,36,True,True,0.9165327882048393,0.8955128386205525
49,-2.485314509733122,0.377834197934709,2.863148707667831,-1.3027268149251425,-1.506460225831019,-0.04530220363718824,-0.03688819908288526,49,44,40,36,True,True,0.9165874768643911,0.8955883014589555
50,-2.2827731704217555,0.707259251924992,2.9900324223467476,-1.2740897549520236,-1.1884590436324227,-0.04413343814352055,-0.011362090588130546,49,43,40,34,True,True,0.916309845393835,0.8955529468101844
51,-5.671501429899098,0.5062399740152036,6.177741403914302,-1.2235798729826775,-1.5295206267759098,-0.057741650379232595,-0.024177954635449837,49,44,41,35,True,True,0.9165507252239602,0.8956528838969455
52,-2.429580572081727,0.7466428318791991,3.1762234039609263,-1.4319180158041678,-1.7700204637767059,-0.045022723920284446,-0.0242202485515756,49,46,40,35,True,True,0.9164938231217933,0.8951092635612454
53,-2.3022299008475775,2.1900549384448653,4.492284839292443,-1.5732023245505378,-2.0825734264826536,-0.04481162629212045,-0.01331426315924137,49,46,40,34,True,True,0.9163912375374366,0.8955574528077342
54,-5.504881610423537,0.6083911678591739,6.1132727782827105,-1.706018552001043,-1.862753992053151,-0.045314966937940265,-0.0360459436200263,48,46,40,36,True,True,0.9164530837127607,0.8952583186205714
55,-2.1684910004594453,0.7108347485543373,2.8793257490137822,-1.574557107610991,-2.0169398073854206,-0.04585936958861815,-0.02482559467992838,49,47,40,35,True,True,0.9165452371362146,0.8956246246040224
56,-2.4220222134383023,0.9439701820286708,3.365992395466973,-1.3995642034034528,-1.828371681951807,-0.04576871839909539,-0.024521311020959835,49,46,40,35,True,True,0.9164242659309665,0.8952400726846268
57,-2.3455957894281676,0.7139402660262848,3.059536055454452,-1.880040401721994,-1.628779737923991,-0.04562595924807264,-0.010117517567934824,49,45,40,34,True,True,0.916364571202505,0.8941674651504237
58,-5.65378384008701,2.150847531235668,7.804631371322679,-1.2037222205490417,-1.9913035505210563,-0.05853632176961991,-0.008548319057302852,49,45,41,34,True,True,0.9165062942588743,0.8955287279164738
59,-2.39723029543071,2.1388338539366494,4.53606414936736,-1.4281915642889165,-1.7000714765036173,-0.046905928733235305,-0.009807766109610896,48,45,40,34,True,True,0.9163656137654799,0.8947156310258749
60,-2.3155388278926026,0.628141297328032,2.943680125220635,-1.5622682083320794,-2.1875542675652673,-0.04552005423553452,-0.024974136102439246,49,46,40,35,True,True,0.9164635672579965,0.8948114181009312
61,-5.603751046127941,0.6725040093327304,6.276255055460672,-1.384799458987429,-1.642376233107784,-0.058434520447702275,-0.022409363135695637,49,46,41,35,True,True,0.916280983341727,0.8956548229418707
62,-2.2436810566485517,0.7879013413450695,3.031582397993621,-1.4700600286281618,-1.5223117771247185,-0.04492539871610295,-0.020512876657642336,49,46,40,35,True,True,0.9165250994935515,0.8951328019431682
