va_id,parent_ed_2019,majority_ed,minority_ed,is_swing,va_ndp,va_ucp,va_other,eg_contrib_majority,eg_contrib_minority,delta_eg,region
Edmonton-West Henday|050,Edmonton-West Henday,Edmonton-Enoch,Edmonton-West Henday,1,99.400000,83.800000,6.400000,-0.000087,-0.000079,0.000008,Edmonton
Edmonton-Rutherford|005,Edmonton-Rutherford,Edmonton-Rutherford,Edmonton-Rutherford,0,142.428571,70.428571,10.857143,-0.000045,-0.000045,0.000000,Edmonton
Calgary-Falconridge|005,Calgary-Falconridge,Calgary-Cross,Calgary-Falconridge,1,88.000000,86.200000,10.200000,-0.000093,-0.000086,0.000006,Calgary
Calgary-Cross|010,Calgary-Cross,Calgary-East,Calgary-Cross,1,76.000000,106.250000,8.500000,0.000075,0.000077,0.000001,Calgary
Calgary-Varsity|002,Calgary-Varsity,Calgary-Varsity,Calgary-Varsity,0,159.800000,120.400000,4.400000,-0.000111,-0.000116,-0.000004,Calgary
Edmonton-Glenora|042,Edmonton-Glenora,Edmonton-Glenora-Riverview,Edmonton-Glenora-Riverview,0,145.500000,54.250000,8.250000,-0.000021,-0.000022,-0.000001,Edmonton
Drayton Valley-Devon|025,Drayton Valley-Devon,Stony Plain-Drayton Valley,Lac Ste Anne-Parkland,1,28.000000,279.000000,7.000000,-0.000073,-0.000072,0.000001,Rest of Alberta
Calgary-Peigan|044,Calgary-Peigan,Calgary-Confluence,Calgary-East,1,113.285714,151.142857,7.142857,0.000122,0.000110,-0.000012,Calgary
Maskwacis-Wetaskiwin|010,Maskwacis-Wetaskiwin,Wetaskiwin-Ponoka-Maskwacis,Wetaskiwin-Ponoka-Maskwacis,0,52.500000,108.500000,4.500000,0.000019,0.000021,0.000002,Rest of Alberta
Calgary-Falconridge|006,Calgary-Falconridge,Calgary-Cross,Calgary-Falconridge,1,74.500000,85.666667,8.666667,-0.000093,-0.000087,0.000005,Calgary
Sherwood Park|015,Sherwood Park,Sherwood Park,Sherwood Park,0,128.750000,125.250000,27.750000,-0.000139,0.000143,0.000283,Rest of Alberta
Sherwood Park|014,Sherwood Park,Sherwood Park,Sherwood Park,0,128.750000,125.250000,27.750000,-0.000139,0.000143,0.000283,Rest of Alberta
