map,name,area_km2,perimeter_km,polsby_popper,pp_percentile_rank
minority_2026,Calgary-South East,0.0000,0.1863,0.000000,0.00
minority_2026,Calgary-Varsity,23.9172,28.6110,0.367159,47.19
minority_2026,Calgary-West-Tsuut'ina,23.7854,20.1292,0.737680,97.75
minority_2026,Edmonton-Beaumont,99.0543,65.0255,0.294385,29.21
minority_2026,Edmonton-Beverly-Clareview,112.1781,108.2477,0.120304,14.61
minority_2026,Edmonton-Castledowns,0.0000,0.1473,0.000000,2.25
minority_2026,Edmonton-City Centre,2.2765,6.3778,0.703288,95.51
minority_2026,Edmonton-Decore,35.7436,27.0130,0.615546,92.13
minority_2026,Edmonton-Ellerslie,45.2398,42.0871,0.320946,33.71
minority_2026,Edmonton-Enoch-Devon,1.8518,9.1960,0.275173,26.97
minority_2026,Edmonton-Glenora-Riverview,46.1609,40.8215,0.348101,40.45
minority_2026,Edmonton-Gold Bar,47.9920,49.0753,0.250411,23.60
minority_2026,Edmonton-Highlands-Norwood,52.0901,40.4142,0.400773,55.06
minority_2026,Edmonton-Manning,9.8163,19.9388,0.310284,32.58
minority_2026,Edmonton-McClung,1.4577,4.8579,0.776212,98.88
minority_2026,Edmonton-Meadows,48.2108,34.5804,0.506634,82.02
minority_2026,Edmonton-Mill Woods,26.4759,21.8365,0.697742,94.38
minority_2026,Edmonton-North West,0.0000,0.0067,0.002037,5.62
minority_2026,Edmonton-Rutherford,2.0876,8.3497,0.376272,51.69
minority_2026,Edmonton-South,46.9107,48.3988,0.251660,24.72
minority_2026,Edmonton-Spruce Grove,68.4269,43.7891,0.448441,65.17
minority_2026,Edmonton-Strathcona,15.4655,27.5195,0.256621,25.84
minority_2026,Edmonton-West Henday,70.2990,44.8113,0.439931,62.92
minority_2026,Edmonton-Whitemud,21.9472,30.2820,0.300761,30.34
minority_2026,Edmonton-Windermere,0.0000,0.2293,0.006178,7.87
minority_2026,Airdrie East,709.2398,143.7633,0.431228,59.55
minority_2026,Barrhead-Westlock-Athabasca,14241.6733,709.5946,0.355427,43.82
minority_2026,Camrose,9747.9125,513.7491,0.464108,71.91
minority_2026,Canmore-Kananaskis,15286.9963,1220.5256,0.128955,15.73
minority_2026,Cold Lake-Bonnyville-St. Paul,14586.3451,624.6042,0.469836,74.16
minority_2026,Central Peace-Notley,44193.5065,1284.5228,0.336577,38.20
minority_2026,Chestermere-Strathmore,1.0720,35.7135,0.010562,10.11
minority_2026,Drumheller-Stettler,38032.4272,1050.2090,0.433324,60.67
minority_2026,Fort McMurray-Lac La Biche,28132.9049,816.3515,0.530481,84.27
minority_2026,Fort McMurray-Wood Buffalo,82098.1591,1439.4790,0.497889,79.78
minority_2026,Fort Saskatchewan-Vegreville,6822.9081,478.1367,0.375038,50.56
minority_2026,Grande Prairie,110.2323,59.1748,0.395591,52.81
minority_2026,Grande Prairie-Wapiti,13636.5927,599.5154,0.476777,75.28
minority_2026,Highwood,994.4327,238.4933,0.219701,21.35
minority_2026,Lac Ste. Anne-Parkland,6654.9588,429.0072,0.454387,68.54
minority_2026,Leduc,158.5927,61.1600,0.532793,85.39
minority_2026,Lesser Slave Lake,72083.0626,1205.1266,0.623703,93.26
minority_2026,Lethbridge-Cardston,7443.2616,501.2126,0.372331,48.31
minority_2026,Lethbridge-Fort MacLeod-Crowsnest Pass,5399.5014,451.6899,0.332570,37.08
minority_2026,Lethbridge-Little Bow,5023.9539,438.3169,0.328609,35.96
minority_2026,Lethbridge-Taber-Warner,0.0000,0.0533,0.006376,8.99
minority_2026,Lloydminster-Wainwright,9520.2731,512.3676,0.455718,69.66
minority_2026,Medicine Hat-Brooks,11748.6353,636.6818,0.364210,44.94
minority_2026,Medicine Hat-Cypress,6116.1917,411.6106,0.453647,67.42
minority_2026,Olds-Three Hills-Didsbury,5461.2509,355.1193,0.544194,86.52
minority_2026,Peace River,104403.3987,1654.7389,0.479143,76.40
minority_2026,Red Deer-Blackfalds,0.0000,0.4881,0.000023,4.49
minority_2026,Red Deer-Innisfail,1572.6129,211.3585,0.442377,64.04
minority_2026,Red Deer-Lacombe,1457.9012,173.7027,0.607191,91.01
minority_2026,Red Deer-Sylvan Lake,1289.8066,172.4232,0.545184,87.64
minority_2026,Rocky Mountain House-Banff Park,19121.8217,697.7974,0.493492,78.65
minority_2026,Sherwood Park,62.1481,44.3567,0.396935,53.93
minority_2026,St. Albert,37.9300,33.7819,0.417662,57.30
minority_2026,St. Albert-Sturgeon,0.0000,0.0682,0.004162,6.74
minority_2026,Stony Plain-Drayton Valley,47.2849,93.1623,0.068462,12.36
minority_2026,Sherwood Park-Strathcona,486.9567,181.3674,0.186029,19.10
minority_2026,West Yellowhead,44101.5803,1258.9912,0.349638,41.57
minority_2026,Wetaskawin-Ponoka-Maskwacis,3935.0347,327.9284,0.459833,70.79
