map,ed_name,commission_pop,provincial_quota,deviation_pct,lower_band_pct,upper_band_pct,s15_invoked,s15_criteria_met,s15_verdict,classification,flag,notes
majority_2026,Airdrie-West,48145,54929.5,-12.35,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Barrhead-Westlock-Athabasca,52249,54929.5,-4.88,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Camrose,54653,54929.5,-0.5,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Canmore-Banff,39961,54929.5,-27.25,-25.0,25.0,Y,3,Pass,S15_JUSTIFIED,,"3/5; (a) likely fails, (c) fails (Canmore 15,990; Banff 8,305), (b)+(d)+(e) pass; minimum statutory threshold"
majority_2026,Central Peace-Notley,28715,54929.5,-47.72,-25.0,25.0,Y,5,Pass,S15_JUSTIFIED,,5/5; all criteria met per commission report p. 236
majority_2026,Chestermere-Strathmore,56679,54929.5,3.19,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Cochrane-Springbank,56487,54929.5,2.84,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Cold Lake-Bonnyville-St. Paul,55809,54929.5,1.6,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Drumheller-Stettler,50626,54929.5,-7.83,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Fort McMurray-Lac La Biche,52847,54929.5,-3.79,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Fort McMurray-Wood Buffalo,49615,54929.5,-9.68,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Fort Saskatchewan-Vegreville,54278,54929.5,-1.19,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Grande Prairie,50352,54929.5,-8.33,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Grande Prairie-Wapiti,53781,54929.5,-2.09,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,High River-Vulcan-Siksika,53351,54929.5,-2.87,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Lacombe-Clearwater,55750,54929.5,1.49,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Leduc-Devon,56572,54929.5,2.99,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Lesser Slave Lake,30011,54929.5,-45.36,-25.0,25.0,Y,4,Pass,S15_JUSTIFIED,,"4/5; (e) fails, commission p. 248 confirms four criteria"
majority_2026,Lethbridge-East,57463,54929.5,4.61,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Lethbridge-West,54235,54929.5,-1.26,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Livingstone-Macleod,50144,54929.5,-8.71,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Lloydminster-Wainwright,50139,54929.5,-8.72,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Medicine Hat-Brooks,54833,54929.5,-0.18,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Medicine Hat-Cypress,54210,54929.5,-1.31,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Mountain View-Kneehill,52432,54929.5,-4.55,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Okotoks-Diamond Valley,55284,54929.5,0.65,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Peace River,43399,54929.5,-20.99,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Red Deer-North,53798,54929.5,-2.06,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Red Deer-South,59123,54929.5,7.63,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Sherwood Park,52475,54929.5,-4.47,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Spruce Grove,55930,54929.5,1.82,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,St. Albert,59935,54929.5,9.11,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,St. Albert-Sturgeon,54214,54929.5,-1.3,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Stony Plain-Drayton Valley,55743,54929.5,1.48,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Strathcona-Sherwood Park,51020,54929.5,-7.12,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Sylvan Lake-Innisfail,55290,54929.5,0.66,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Taber-Cardston,54933,54929.5,0.01,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,West Yellowhead,56562,54929.5,2.97,-25.0,25.0,N,,,COMPLIANT,,
majority_2026,Wetaskiwin-Ponoka-Maskwacis,56399,54929.5,2.68,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Acadia,53346,54930.0,-2.88,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Airdrie,58820,54930.0,7.08,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Beddington,61320,54930.0,11.63,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Bow-Springbank,55560,54930.0,1.15,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Buffalo,66801,54930.0,21.61,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Cross,63064,54930.0,14.81,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Currie,60141,54930.0,9.49,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-De Winton,47732,54930.0,-13.1,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-East,57107,54930.0,3.96,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Edgemont,56584,54930.0,3.01,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Elbow,59034,54930.0,7.47,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Falconridge,63986,54930.0,16.49,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Fish Creek,57894,54930.0,5.4,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Foothills-Airdrie West,58436,54930.0,6.38,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Glenmore,53096,54930.0,-3.34,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Hays,52395,54930.0,-4.62,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Klein,61817,54930.0,12.54,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Lougheed,56122,54930.0,2.17,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-McCall-Bhullar,66474,54930.0,21.02,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Mountain View,62634,54930.0,14.03,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Nolan Hill-Cochrane,56282,54930.0,2.46,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-North,56981,54930.0,3.73,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-North East,68145,54930.0,24.06,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-North West-Bearspaw,57246,54930.0,4.22,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Peigan-Chestermere,52639,54930.0,-4.17,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-South,55134,54930.0,0.37,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-South East,54045,54930.0,-1.61,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-Varsity,64982,54930.0,18.3,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Calgary-West-Tsuut'ina,57827,54930.0,5.27,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Beaumont,55802,54930.0,1.59,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Beverly-Clareview,57481,54930.0,4.64,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Castledowns,59612,54930.0,8.52,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-City Centre,57312,54930.0,4.34,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Decore,57959,54930.0,5.51,-25.0,25.0,N,,,COMPLIANT,,
