va_id,parent_ed_2019,majority_ed,minority_ed,is_swing,va_ndp,va_ucp,va_other,eg_contrib_majority,eg_contrib_minority,delta_eg,region
Edmonton-Meadows|023,Edmonton-Meadows,Edmonton-Mill Woods,Edmonton-Mill Woods,0,260.390737,159.329376,3.250000,-0.000070,-0.000070,0.000000,Edmonton
Lethbridge-East|012,Lethbridge-East,Lethbridge-East,Lethbridge-Little Bow,1,140.400271,152.740523,4.875000,0.000088,0.000073,-0.000015,Rest of Alberta
Peace River|045,Peace River,Peace River,Peace River,0,15.537748,31.954667,2.000000,0.000003,0.000003,0.000000,Rest of Alberta
Edmonton-Castle Downs|030,Edmonton-Castle Downs,Edmonton-Castle Downs,Edmonton-Castledowns,1,182.434788,141.017582,8.000000,-0.000076,-0.000076,0.000000,Edmonton
Drumheller-Stettler|048,Drumheller-Stettler,Drumheller-Stettler,Drumheller-Stettler,0,33.961538,102.384615,9.000000,-0.000004,-0.000005,-0.000001,Rest of Alberta
Calgary-Bow|009,Calgary-Bow,Calgary-Bow,Calgary-Bow-Springbank,1,175.533567,201.117922,6.200000,0.000107,0.000103,-0.000004,Calgary
Edmonton-Whitemud|012,Edmonton-Whitemud,Edmonton-Whitemud,Edmonton-Whitemud,0,313.842672,183.225485,10.250000,-0.000083,-0.000083,0.000000,Edmonton
Calgary-Hays|036,Calgary-Hays,Calgary-Hays,Calgary-Hays,0,174.801790,225.965275,6.166667,0.000096,0.000096,0.000000,Calgary
Calgary-Hays|037,Calgary-Hays,Calgary-Hays,Calgary-Hays,0,174.801790,225.965275,6.166667,0.000096,0.000096,0.000000,Calgary
Red Deer-North|005,Red Deer-North,Red Deer-North,Red Deer-Lacombe,1,135.006509,238.331672,8.333333,0.000061,0.000042,-0.000019,Rest of Alberta
Red Deer-North|003,Red Deer-North,Red Deer-North,Red Deer-Lacombe,1,135.006509,238.331672,8.333333,0.000061,0.000042,-0.000019,Rest of Alberta
Livingstone-Macleod|011,Livingstone-Macleod,High River-Vulcan-Siksika,Highwood,1,93.080134,234.078816,10.388889,0.000011,0.000017,0.000006,Rest of Alberta
Calgary-Bow|029,Calgary-Bow,Calgary-Bow,Calgary-Bow-Springbank,1,204.626136,256.579768,3.000000,0.000125,0.000119,-0.000006,Calgary
Lethbridge-East|056,Lethbridge-East,Lethbridge-East,Lethbridge-Taber-Warner,1,146.241516,175.846931,5.200000,0.000091,0.000068,-0.000023,Rest of Alberta
Lethbridge-East|060,Lethbridge-East,Lethbridge-East,Lethbridge-Taber-Warner,1,92.582581,122.234657,3.750000,0.000057,0.000042,-0.000016,Rest of Alberta
