pass,donor,receiver,donor_pct,receiver_pct,pct_diff,shared_length_m,vertices_snapped
5,Calgary-Peigan-Chestermere,Highwood,94.82,68.93,25.89,1094.8,43
5,Calgary-South East,Highwood,92.82,68.93,23.89,5386.7,340
5,Edmonton-South,Edmonton-Beaumont,79.93,55.79,24.14,4102.3,273
5,Edmonton-Highlands-Norwood,Edmonton-Ellerslie,98.44,66.35,32.1,2177.4,59
5,Edmonton-Enoch-Devon,Lac Ste. Anne-Parkland,76.9,15.8,61.1,4102.9,214
5,Edmonton-Highlands-Norwood,Edmonton-South,98.44,79.93,18.51,3105.0,77
5,Edmonton-South,Edmonton-Rutherford,79.93,22.15,57.78,685.6,118
5,Airdrie East,Olds-Three Hills-Didsbury,46.18,12.22,33.96,19899.8,517
5,Lethbridge-Little Bow,Lethbridge-Taber-Warner,92.64,45.84,46.81,37105.8,943
5,Medicine Hat-Cypress,Lethbridge-Taber-Warner,86.56,45.84,40.72,131417.8,3152
5,Red Deer-Blackfalds,Red Deer-Innisfail,100.0,64.14,35.86,216.7,27
5,Red Deer-Lacombe,Red Deer-Innisfail,91.79,64.14,27.65,17204.0,1219
5,Red Deer-Sylvan Lake,Red Deer-Innisfail,100.0,64.14,35.86,25173.5,960
5,Red Deer-Lacombe,Wetaskawin-Ponoka-Maskwacis,91.79,11.07,80.72,4752.0,580
