va_id,parent_ed_2019,va_number,majority_hybrid_candidate,minority_hybrid_candidate
Morinville-St. Albert|050,Morinville-St. Albert,050,St. Albert-Sturgeon,St. Albert-Sturgeon
Edmonton-Glenora|006,Edmonton-Glenora,006,,Edmonton-Glenora-Riverview
Taber-Warner|001,Taber-Warner,001,,Lethbridge-Taber-Warner
Leduc-Beaumont|024,Leduc-Beaumont,024,Leduc-Devon,Edmonton-Beaumont
Drayton Valley-Devon|035,Drayton Valley-Devon,035,,Edmonton-Enoch-Devon
Leduc-Beaumont|037,Leduc-Beaumont,037,Leduc-Devon,Edmonton-Beaumont
Bonnyville-Cold Lake-St. Paul|054,Bonnyville-Cold Lake-St. Paul,054,Cold Lake-Bonnyville-St. Paul,
Spruce Grove-Stony Plain|001,Spruce Grove-Stony Plain,001,Spruce Grove,
Calgary-Foothills|042,Calgary-Foothills,042,,Calgary-Foothills-Airdrie West
Calgary-Peigan|040,Calgary-Peigan,040,,Calgary-Peigan-Chestermere
Calgary-Bow|057,Calgary-Bow,057,,Calgary-Bow-Springbank
Calgary-North West|012,Calgary-North West,012,,Calgary-North West-Bearspaw
Airdrie-East|046,Airdrie-East,046,,Calgary-Airdrie
Airdrie-East|063,Airdrie-East,063,,Calgary-Airdrie
Drayton Valley-Devon|015,Drayton Valley-Devon,015,,Edmonton-Enoch-Devon
Edmonton-Glenora|039,Edmonton-Glenora,039,,Edmonton-Glenora-Riverview
Taber-Warner|013,Taber-Warner,013,,Lethbridge-Taber-Warner
Airdrie-Cochrane|082,Airdrie-Cochrane,082,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Maskwacis-Wetaskiwin|038,Maskwacis-Wetaskiwin,038,Wetaskiwin-Ponoka-Maskwacis,
Calgary-Bow|032,Calgary-Bow,032,,Calgary-Bow-Springbank
Brooks-Medicine Hat|044,Brooks-Medicine Hat,044,Medicine Hat-Brooks,
Spruce Grove-Stony Plain|040,Spruce Grove-Stony Plain,040,Spruce Grove,
Spruce Grove-Stony Plain|039,Spruce Grove-Stony Plain,039,Spruce Grove,
Lethbridge-West|014,Lethbridge-West,014,,Lethbridge-Fort MacLeod-Crowsnest Pass
Lethbridge-West|027,Lethbridge-West,027,,Lethbridge-Fort MacLeod-Crowsnest Pass
Drayton Valley-Devon|046,Drayton Valley-Devon,046,,Edmonton-Enoch-Devon
Calgary-West|027,Calgary-West,027,,Calgary-West-Tsuut’ina
Calgary-West|026,Calgary-West,026,,Calgary-West-Tsuut’ina
Calgary-Bow|046,Calgary-Bow,046,,Calgary-Bow-Springbank
Lethbridge-West|007,Lethbridge-West,007,,Lethbridge-Fort MacLeod-Crowsnest Pass
Bonnyville-Cold Lake-St. Paul|048,Bonnyville-Cold Lake-St. Paul,048,Cold Lake-Bonnyville-St. Paul,
Maskwacis-Wetaskiwin|028,Maskwacis-Wetaskiwin,028,Wetaskiwin-Ponoka-Maskwacis,
Edmonton-Beverly-Clareview|044,Edmonton-Beverly-Clareview,044,,Edmonton-Beverly-Clareview
Fort McMurray-Lac La Biche|034,Fort McMurray-Lac La Biche,034,,Lethbridge-Fort MacLeod-Crowsnest Pass
Leduc-Beaumont|007,Leduc-Beaumont,007,Leduc-Devon,Edmonton-Beaumont
Leduc-Beaumont|006,Leduc-Beaumont,006,Leduc-Devon,Edmonton-Beaumont
Maskwacis-Wetaskiwin|021,Maskwacis-Wetaskiwin,021,Wetaskiwin-Ponoka-Maskwacis,
Maskwacis-Wetaskiwin|020,Maskwacis-Wetaskiwin,020,Wetaskiwin-Ponoka-Maskwacis,
Fort McMurray-Wood Buffalo|005,Fort McMurray-Wood Buffalo,005,,Lethbridge-Fort MacLeod-Crowsnest Pass
Edmonton-Beverly-Clareview|046,Edmonton-Beverly-Clareview,046,,Edmonton-Beverly-Clareview
Calgary-Foothills|046,Calgary-Foothills,046,,Calgary-Foothills-Airdrie West
Drayton Valley-Devon|055,Drayton Valley-Devon,055,,Edmonton-Enoch-Devon
Lacombe-Ponoka|038,Lacombe-Ponoka,038,Lacombe-Clearwater,
Leduc-Beaumont|040,Leduc-Beaumont,040,Leduc-Devon,Edmonton-Beaumont
