map,ed_name,area_m2,perimeter_m,polsby_popper
majority,Okotoks-Diamond Valley,1259615899.5066528,223007.62543133067,0.3182794296373158
majority,Peace River,109228334676.83362,1693856.5194246536,0.4784008430932894
majority,Red Deer-North,73959632.39545779,45039.86324927974,0.4581529438475227
majority,Red Deer-South,35095382.43578131,28257.296076209255,0.5523300080822984
majority,Sherwood Park,71301400.23304202,47358.70314412717,0.3994922146422127
majority,Spruce Grove,378222877.632104,116962.74897272312,0.34742616675799143
majority,St. Albert,57118110.05123601,41873.26308435235,0.4093644089109876
majority,St. Albert-Sturgeon,2252387539.5362477,273674.84276109986,0.37790551132978467
majority,Stony Plain-Drayton Valley,5357265905.750148,573212.1966523541,0.20489068845025854
majority,Strathcona-Sherwood Park,767328398.4936097,135231.26470067736,0.5272746794142871
majority,Sylvan Lake-Innisfail,4178322631.979719,421008.9264659457,0.296230128613532
majority,Taber-Cardston,21271241218.054955,988927.3055945259,0.27332160327313715
majority,West Yellowhead,50780833334.308395,1620089.679597963,0.24312609611713296
majority,Wetaskiwin-Ponoka-Maskwacis,6524743658.089401,449975.7178726038,0.404944179496378
