map,ed_name,area_m2,bounding_circle_diameter_m,reock
minority,Leduc,1109481227.4634428,48625.45441946387,0.5974516034414412
minority,Lesser Slave Lake,75768189678.94067,382546.782437155,0.6592162773992957
minority,Lethbridge-Cardston,8707354521.937485,169021.591969477,0.38807169727730995
minority,Lethbridge-Fort Macleod-Crowsnest Pass,6779150152.814677,146565.08648364304,0.40181330642531976
minority,Lethbridge-Little Bow,8955001017.184626,161958.97523439117,0.4346760559077071
minority,Lethbridge-Taber-Warner,6314846675.790528,136189.80844267271,0.4334946190340942
minority,Lloydminster-Wainwright,11034670599.663126,161332.26976940673,0.5397926965721033
minority,Medicine Hat-Brooks,13741554954.232904,208933.91351818014,0.40080037528588325
minority,Medicine Hat-Cypress,13527488046.764233,164972.58229233325,0.6328542961610807
minority,Olds-Three Hills-Didsbury,6790773129.378598,132763.89676638506,0.4905342751281446
minority,Peace River,109232794131.98412,505891.7982920112,0.5434353487358731
minority,Red Deer-Blackfalds,2048231560.2411866,68078.97719779052,0.56268213617305
minority,Red Deer-Innisfail,2219010108.2611556,81704.15910532756,0.42323450775056604
minority,Red Deer-Lacombe,1790739682.6435816,67586.77762477472,0.4991362302260594
minority,Red Deer-Sylvan Lake,1805651700.8080037,60590.33930832933,0.6262349917920046
minority,Rocky Mountain House-Banff Park,28935371223.38086,239858.49875955313,0.6403670168481806
minority,Sherwood Park,121000921.11030926,20548.028870422975,0.36488705854188935
minority,St Albert,29762776.776184365,8858.292924305832,0.4829292283734683
minority,St Albert-Sturgeon,1918098571.8336709,80685.25930778868,0.37513936801723674
minority,Stony Plain-Drayton Valley,6114904702.487238,137588.50072790874,0.4112780533557498
minority,Sherwood Park-Strathcona,996360628.2297127,49708.47280973941,0.5134117873466938
minority,West Yellowhead,48064173265.45407,358663.92045993445,0.47572526043293023
minority,Wetaskiwin-Ponoka-Maskwacis,4911854205.766034,119528.1011535991,0.4377393065937212
majority,Calgary-Acadia,27227145.028751988,8026.612093269825,0.5380810198963931
majority,Calgary-Beddington,29514559.465531923,9475.466203073498,0.4185479798515844
majority,Calgary-Bhullar-McCall,40769394.37968083,10259.225142867304,0.4931911301833166
majority,Calgary-Bow,31898586.017079595,11827.826705727726,0.29031645036223486
majority,Calgary-Buffalo,4202662.877253004,2981.3876518830657,0.6020017803971507
majority,Calgary-Confluence,49078741.30588867,10559.945678849035,0.5603768251967934
majority,Calgary-Cross,15857922.31677679,5873.546802327037,0.5852690213826693
majority,Calgary-Currie,15930163.497897794,5953.011036527198,0.5723437917831894
majority,Calgary-East,68371071.6576916,12685.026716320019,0.5410030746341006
majority,Calgary-Edgemont,19899601.07196424,7637.277467025837,0.4343875312286482
majority,Calgary-Elbow,17604689.266371556,6705.040483318269,0.4985809420359296
majority,Calgary-Falconridge-Conrich,46289846.379521094,11748.916055765643,0.42697284617615505
majority,Calgary-Fish Creek,32684316.70896218,10757.229353085968,0.35962400415214935
majority,Calgary-Glenmore-Tsuut'ina,334242981.05324817,41158.09201012083,0.2512244749609245
majority,Calgary-Hays,63077249.22367489,11745.015360755846,0.5822046718325086
majority,Calgary-Klein,36736917.36791337,9849.230737386271,0.482178905167304
majority,Calgary-Lougheed,34418837.06716451,11383.467293685302,0.3381872131271086
majority,Calgary-McKenzie,30929150.401403002,15291.670021075755,0.16841015418540864
majority,Calgary-Mountain View,15878547.779864851,7886.521017180756,0.3250498491156198
majority,Calgary-North,22673538.335826527,8465.206812887242,0.4028601152223355
majority,Calgary-North East,25088847.254339546,8286.510407580412,0.4652083119918822
majority,Calgary-North West,26220486.27866785,8802.475768666714,0.4308649672557292
majority,Calgary-Nose Creek,44866726.25219094,10560.274268137786,0.5122525218786577
majority,Calgary-Shaw,34224474.002924494,9843.152452430484,0.4497575656704256
majority,Calgary-South East,43591010.76500702,9812.416072709486,0.576441377878497
majority,Calgary-Symons Valley,36454507.945593685,8783.37273338437,0.6016428132044617
majority,Calgary-Varsity,26964488.969872996,9089.484651719089,0.41555048289045227
majority,Calgary-West-Elbow Valley,72186808.51500967,22711.524103742093,0.1781867477593674
majority,Edmonton-Beaumont,75091005.03940089,15151.76827776141,0.41645817918358025
majority,Edmonton-Beverly-Clareview,56490054.067699246,11277.868989905342,0.5654940223445398
majority,Edmonton-Castle Downs,20859177.16837699,7864.741126472392,0.42937665393692603
majority,Edmonton-City Centre,15186988.45269851,6657.3877356648445,0.43628881388065593
majority,Edmonton-Decore,18145764.041451205,6189.962876232341,0.6029888604315481
majority,Edmonton-Ellerslie,23157865.632705208,8457.82106528306,0.4121845058881721
majority,Edmonton-Enoch,146327615.39422697,19866.752066152694,0.4720442046359052
majority,Edmonton-Glenora-Riverview,25734237.69296598,8655.389564665064,0.43736919120373424
majority,Edmonton-Gold Bar,56600414.026928045,11571.904612751678,0.5381706838693288
majority,Edmonton-Highlands-Norwood,18774144.956183203,6950.478413704783,0.49481275675612274
majority,Edmonton-Manning,97352101.57137416,16187.19554624334,0.47305563870442907
majority,Edmonton-McClung,27545059.768188607,8160.277857366949,0.526676504139629
