ed_name,region,sheet_num,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,total_valid_votes,turnout_pct,winner_party,winner_pct,runner_up_party,runner_up_pct,margin_pct
Edmonton-Mill Woods,Edmonton,38,Raman Athwal (UCP),Christina Gray (NDP),,,,,6869,11063,,,,,17932,0.5731,NDP,61.69,UCP,38.31,23.39
Edmonton-North West,Edmonton,39,Tyler Beaulac (GPA),David Eggen (NDP),Ali Haymour (UCP),,,,335,9978,6388,,,,16701,0.5299,NDP,59.74,UCP,38.25,21.50
Edmonton-Riverview,Edmonton,40,Eric Champagne (LIB),Robin George (GPA),Lori Sigurdson (NDP),Terry Vankka (UCP),,,413,347,12875,5564,,,19199,0.6365,NDP,67.06,UCP,28.98,38.08
Edmonton-Rutherford,Edmonton,41,Jodi Calahoo Stonehouse (NDP),Laine Larson (UCP),Jordan Wilkie (GPA),,,,13012,6366,624,,,,20002,0.6419,NDP,65.05,UCP,31.83,33.23
Edmonton-South,Edmonton,42,Joseph Angeles (UCP),Chryssy Beckmann (GPA),Rhiannon Hoyle (NDP),,,,9492,369,14171,,,,24032,0.6039,NDP,58.97,UCP,39.50,19.47
Edmonton-South West,Edmonton,43,Jeff Cullihall (GPA),Nathan Ip (NDP),Kaycee Madu (UCP),,,,323,14380,10741,,,,25444,0.6178,NDP,56.52,UCP,42.21,14.30
Edmonton-Strathcona,Edmonton,44,Emad El-Zein (UCP),Robert Gooding-Townsend (GPA),Andrew Jacobson (BPA),Robert Nielsen (WLC),Rachel Notley (NDP),,3032,324,106,93,13980,,17535,0.5932,NDP,79.73,UCP,17.29,62.44
Edmonton-West Henday,Edmonton,45,Brooks Arcand-Paul (NDP),Dan Bildhauer (LIB),Slava Cravcenco (UCP),Kristina Howard (GPA),,,11495,391,7956,382,,,20224,0.5776,NDP,56.84,UCP,39.34,17.50
Edmonton-Whitemud,Edmonton,46,Cheri Hawley (GPA),Rakhi Pancholi (NDP),Raj Sherman (UCP),Donna Wilson (LIB),,,221,12797,7799,370,,,21187,0.6498,NDP,60.40,UCP,36.81,23.59
Airdrie-Cochrane,Calgary-area,47,Michael Andrusco (SM),Shaun Fluker (NDP),Michelle Overwater Giles (GPA),Peter Guthrie (UCP),Ron Voss (WLC),,199,11223,393,18074,183,,30072,0.6650,UCP,60.10,NDP,37.32,22.78
Airdrie-East,Calgary-area,48,Michael Jacobsen (GPA),Dan Nelles (NDP),Angela Pitt (UCP),,,,623,8697,15215,,,,24535,0.6183,UCP,62.01,NDP,35.45,26.57
Athabasca-Barrhead-Westlock,Rest of Alberta,49,Landen Tischer (NDP),Glenn Van Dijken (UCP),,,,,5401,15631,,,,,21032,0.6269,UCP,74.32,NDP,25.68,48.64
Banff-Kananaskis,Rest of Alberta,50,Regan Boychuk (GPA),Sarah Elmeligi (NDP),Kyle Jubb (SM),Miranda Rosin (UCP),,,336,11562,105,11259,,,23262,0.6922,NDP,49.70,UCP,48.40,1.30
Bonnyville-Cold Lake-St. Paul,Rest of Alberta,51,Caitlyn Blake (NDP),Scott Cyr (UCP),,,,,4327,13315,,,,,17642,0.5289,UCP,75.47,NDP,24.53,50.95
Brooks-Medicine Hat,Rest of Alberta,52,Gwendoline Dirk (NDP),Barry Morishita (AP),Danielle Smith (UCP),,,,5477,1233,13315,,,,20025,0.5815,UCP,66.49,NDP,27.35,39.14
Camrose,Rest of Alberta,53,Bob Blayone (IND),Richard Bruneau (NDP),Pamela Henson (WLC),Jackie Lovely (UCP),,,1740,5579,205,13032,,,20556,0.6325,UCP,63.40,NDP,27.14,36.26
