map,name,tier,confidence,area_km2,perimeter_km,polsby_popper,polsby_popper_lo,polsby_popper_hi,reock,reock_lo,reock_hi,refined_note
2026_refined_minority,Edmonton-Decore,A,high,17.184411816543438,17.584071881923137,0.6984022582395454,0.6684022582395454,0.7284022582395454,0.5034253756943076,0.4534253756943076,0.5534253756943076,unrefined
2026_refined_minority,Edmonton-Ellerslie,A,high,64.13648294910064,45.083508893758356,0.3965332270225734,0.3665332270225734,0.42653322702257335,0.4975650278929022,0.4475650278929022,0.5475650278929022,unrefined
2026_refined_minority,Edmonton-Gold Bar,A,high,53.610011697734,41.0737190221543,0.39932611254866496,0.369326112548665,0.42932611254866493,0.4433088993164567,0.3933088993164567,0.49330889931645666,unrefined
2026_refined_minority,Edmonton-Manning,A,high,115.33191511035204,50.47443290455879,0.5688745058044719,0.5388745058044718,0.5988745058044719,0.5236845940149157,0.47368459401491575,0.5736845940149158,unrefined
2026_refined_minority,Edmonton-McClung,A,high,17.94461065916604,23.38241595047069,0.41244414247820127,0.38244414247820124,0.4424441424782013,0.5034789800889647,0.45347898008896476,0.5534789800889648,unrefined
2026_refined_minority,Edmonton-Meadows,A,high,18.55169619388073,21.54691805209477,0.5021380916598082,0.47213809165980813,0.5321380916598082,0.4811469719093952,0.4311469719093952,0.5311469719093952,unrefined
2026_refined_minority,Edmonton-Mill Woods,A,high,26.55975579452195,21.97903598079886,0.6909023368797165,0.6609023368797164,0.7209023368797165,0.6217682100004803,0.5717682100004803,0.6717682100004804,unrefined
2026_refined_minority,Edmonton-North West,A,high,29.92862690131798,33.385232690286074,0.3374332238170371,0.3074332238170371,0.36743322381703714,0.2931448611920843,0.24314486119208434,0.3431448611920843,unrefined
2026_refined_minority,Edmonton-Rutherford,A,high,21.27286148426335,28.47155075502819,0.32977181262283484,0.2997718126228348,0.35977181262283486,0.43696065568457104,0.38696065568457105,0.48696065568457103,unrefined
2026_refined_minority,Edmonton-South,A,high,72.70419484010588,56.596308349638434,0.2852286360367699,0.25522863603676993,0.31522863603676987,0.3468636215025365,0.29686362150253653,0.3968636215025365,unrefined
2026_refined_minority,Edmonton-Strathcona,A,high,15.469617769271503,26.648154103326153,0.27375066620891153,0.24375066620891153,0.30375066620891156,0.3462460898451647,0.2962460898451647,0.3962460898451647,unrefined
2026_refined_minority,Edmonton-West Henday,A,high,76.50250538154614,44.35072457896071,0.4887469757713418,0.4587469757713418,0.5187469757713418,0.3389390338086094,0.2889390338086094,0.3889390338086094,unrefined
2026_refined_minority,Edmonton-Whitemud,A,high,22.039743329652328,31.235392775122698,0.2838719320857487,0.25387193208574865,0.3138719320857487,0.360737061888727,0.310737061888727,0.410737061888727,unrefined
2026_refined_minority,Fort McMurray-Lac La Biche,A,high,32317.74815650458,1046.9476515180065,0.3705109283945945,0.3405109283945945,0.40051092839459446,0.4201347311470095,0.3701347311470095,0.4701347311470095,unrefined
2026_refined_minority,Fort McMurray-Wood Buffalo,A,high,86353.31538184448,1519.0501324294498,0.4702671757487431,0.4402671757487431,0.5002671757487431,0.43220586437265784,0.38220586437265786,0.48220586437265783,unrefined
2026_refined_minority,Fort Saskatchewan-Vegreville,A,high,9118.35047191751,560.4086984209488,0.3648517297003723,0.33485172970037225,0.3948517297003723,0.34639796402671696,0.296397964026717,0.39639796402671695,unrefined
2026_refined_minority,Grande Prairie,A,high,111.13441968098037,59.3009980498282,0.39713159922888885,0.3671315992288888,0.4271315992288889,0.4730062302837328,0.4230062302837328,0.5230062302837328,unrefined
2026_refined_minority,Grande Prairie-Wapiti,A,high,16018.21503516566,722.1290923949646,0.386006217503667,0.356006217503667,0.41600621750366695,0.4812759823822126,0.4312759823822126,0.5312759823822126,unrefined
2026_refined_minority,Red Deer-Sylvan Lake,A,medium,3605.1871555615617,416.12939209289436,0.2616259962543567,0.23162599625435668,0.2916259962543567,0.3443038007258508,0.29430380072585083,0.3943038007258508,unrefined
2026_refined_minority,Lac Ste. Anne-Parkland,A,high,5485.652083605853,452.52652854761595,0.33662784424339615,0.3066278442433962,0.3666278442433961,0.4390348786595959,0.3890348786595959,0.4890348786595959,unrefined
2026_refined_minority,Leduc,A,medium,190.00237212019618,66.13290039540502,0.5459259606995226,0.5159259606995226,0.5759259606995226,0.5282498427275586,0.4782498427275586,0.5782498427275586,unrefined
2026_refined_minority,Lesser Slave Lake,A,high,69566.09043849385,1195.9141164241958,0.6112339613607735,0.5812339613607734,0.6412339613607735,0.6292467905582947,0.5792467905582946,0.6792467905582947,unrefined
2026_refined_minority,Olds-Three Hills-Didsbury,A,high,10479.3491817548,586.3088791892509,0.3830815475169216,0.35308154751692156,0.4130815475169216,0.41611802128527975,0.36611802128527976,0.46611802128527974,unrefined
2026_refined_minority,Peace River,A,high,109221.98362246608,1693.9775977302168,0.4783046449051294,0.44830464490512945,0.5083046449051294,0.5022304119676733,0.4522304119676733,0.5522304119676733,unrefined
2026_refined_minority,Red Deer-Innisfail,A,medium,71.8067619399649,46.435051945439604,0.41848831450645185,0.3884883145064518,0.4484883145064519,0.42148141110792925,0.37148141110792926,0.47148141110792924,unrefined
2026_refined_minority,Red Deer-Blackfalds,A,medium,35.04143599512207,28.27045946873485,0.5509675551709581,0.520967555170958,0.5809675551709581,0.41429272022898517,0.3642927202289852,0.46429272022898516,unrefined
2026_refined_minority,Sherwood Park,A,high,62.74204777367642,45.14083089716479,0.38692737369840513,0.3569273736984051,0.41692737369840516,0.43693300214299097,0.386933002142991,0.48693300214299096,unrefined
2026_refined_minority,Edmonton-Spruce Grove,A,medium,68.47327197135337,45.36557048938801,0.41809809779487644,0.3880980977948765,0.4480980977948764,0.3511870719550897,0.3011870719550897,0.4011870719550897,unrefined
