map,ed_name,area_m2,bounding_circle_diameter_m,reock
minority,Calgary-Peigan-Chestermere,229387.34680866034,761.4750390728295,0.5036956881233766
minority,Calgary-South,3156066.6826653057,8224.002603167668,0.059414139417634265
minority,Calgary-South East,52532764.29968709,11423.893992920057,0.512521447360375
minority,Calgary-Varsity,24012559.411019802,9089.484651428167,0.3700582151018121
minority,Calgary-West-Tsuut'ina,21803668.18642071,6951.656959357089,0.5744642631193698
minority,Camrose,11370709202.76621,166402.622788148,0.522850270574455
minority,Canmore-Kananaskis,17427200499.09772,332785.59998672706,0.20035892606548122
minority,Central Peace-Notley,47311931620.59504,425204.101447938,0.33318535820388373
minority,Chestermere-Strathmore,1581546244.7604,54360.620400857384,0.6814330680165708
minority,Cold Lake-Bonnyville-St. Paul,16833883555.173899,219134.51043046173,0.44634726871884295
minority,Drumheller-Stettler,41081834816.58906,297668.1424014177,0.5903305191700536
minority,Edmonton-Beaumont,194638830.99998268,21093.190743189538,0.556999809066573
minority,Edmonton-Beverly-Clareview,67234136.07941715,20351.37438186817,0.2066866661899866
minority,Edmonton-Castledowns,38920986.25291718,13270.268001548946,0.2814067870870705
minority,Edmonton-City Centre,13855960.1452843,9447.12931603752,0.1976728499421345
minority,Edmonton-Decore,17184411.77521785,6483.994928965345,0.5204265643848938
minority,Edmonton-Ellerslie,64136484.495812416,12650.38206480071,0.5102793404901133
minority,Edmonton-Enoch-Devon,823785946.0636988,113147.82514094189,0.08192794770611363
minority,Edmonton-Glenora-Riverview,28817684.963893652,11256.21289381088,0.2895907001638508
minority,Edmonton-Gold Bar,84323247.79271194,20147.846383348107,0.26448447366735356
minority,Edmonton-Highlands-Norwood,29007264.646260962,21717.148088840768,0.0783089336740831
minority,Edmonton-Manning,115331915.24294144,16187.19554589875,0.5604235753511477
minority,Edmonton-McClung,43011273.97185624,16048.39319351688,0.21263233701494277
minority,Edmonton-Meadows,47003586.97961097,12276.23048581928,0.39711020950373566
minority,Edmonton-Mill Woods,41449187.55827892,20214.423344126262,0.12915268150208517
minority,Edmonton-North West,29928626.77200495,10445.549569234601,0.34924831567306663
minority,Edmonton-Rutherford,156116578.6865853,28805.25092152506,0.23956083508743647
minority,Edmonton-South,3568027.562800863,5805.452200237662,0.13479265015244904
minority,Edmonton-Spruce Grove,68473272.09994347,14899.050702830777,0.3927480199617966
minority,Edmonton-Strathcona,15469617.76894569,7167.6717574969225,0.383383558742983
minority,Edmonton-West Henday,6844908.451697793,4122.057015672966,0.5129201651640871
minority,Edmonton-Whitemud,22039743.33848763,8456.455950497184,0.3924098221250345
minority,Edmonton-Windermere,36333839.37106203,11625.352170748636,0.3423017934100474
minority,Fort McMurray-Lac La Biche,32317748155.806915,300537.3173705097,0.4555692473261397
minority,Fort McMurray-Wood Buffalo,86352797702.50253,490228.0088407025,0.4574991481694014
minority,Fort Saskatchewan-Vegreville,9118350470.195086,171179.33597490238,0.3962084417325759
minority,Grande Prairie,111134420.59958413,16684.828229130013,0.508294286940852
minority,Grande Prairie-Wapiti,16018215034.120554,203151.08273104392,0.49418089941953025
minority,Highwood,2227439446.6532164,76444.02616876736,0.48532081713207875
minority,Lac Ste. Anne-Parkland,7159360278.975352,127086.56482100002,0.5643974656608473
minority,Leduc,186655880.0110893,23019.04959791401,0.4485150462906422
minority,Lesser Slave Lake,76729644956.87813,392022.5930546317,0.6356983925394566
minority,Lethbridge-Cardston,9669769579.297089,177818.18157500442,0.3893802455430647
minority,Lethbridge-Fort MacLeod-Crowsnest Pass,14637234727.735355,172935.91533169243,0.623158842818224
minority,Lethbridge-Little Bow,5314398611.33817,157597.50980066223,0.2724366571395734
minority,Lethbridge-Taber-Warner,17473048976.71341,227910.70912516373,0.42830125609909875
minority,Lloydminster-Wainwright,10090974331.409979,160276.2882775167,0.5001550605687372
minority,Medicine Hat-Brooks,13741637276.313622,208933.91351818008,0.40080277637665934
minority,Medicine Hat-Cypress,14959878.593992759,8500.482125630602,0.2636034383318813
minority,Olds-Three Hills-Didsbury,6962174428.859664,134709.49476062693,0.4884932914657775
minority,Peace River,109222501304.03706,505882.7428258995,0.5434035953906099
minority,Red Deer-Blackfalds,106848861.51749963,15573.026938766794,0.5609626525440906
minority,Red Deer-Innisfail,2645433445.6370163,101681.52159350179,0.32577884973027676
minority,Red Deer-Lacombe,2854751050.708209,77367.63086836226,0.6072391500162126
minority,Red Deer-Sylvan Lake,1533183885.5075338,58282.834243105724,0.5746759714677652
minority,Rocky Mountain House-Banff Park,21295144279.428032,218339.10613180697,0.568758171723583
minority,Sherwood Park,62742047.67483028,13024.234838189557,0.47093868891164575
minority,Sherwood Park-Strathcona,96685462.98662001,30324.70529057132,0.13386841521875234
minority,St. Albert,38862058.08247198,9810.58312139535,0.514098423012503
minority,St. Albert-Sturgeon,1338108464.1252654,63489.41030583531,0.42266749483476135
minority,Stony Plain-Drayton Valley,6333924514.992098,195913.211046914,0.21011427367660823
minority,West Yellowhead,48312785588.48897,344637.74795196205,0.517900713928341
