ed_name,pop_2021_census,pop_plan_b,drift_pct,dev_from_mean_plan_a_pct,dev_from_mean_plan_b_pct,legal_window_plan_a,legal_window_plan_b,status_change_flag,aggregation_method
Lacombe-Ponoka,46355,51248,10.555495631539207,-5.365726257219209,-9.40162812161291,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 12.8% of Plan A from split DAs (APPROXIMATE if >5%)
Leduc-Beaumont,56193,66953,19.148292491947398,14.718665611650975,18.36233203976059,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 34.3% of Plan A from split DAs (APPROXIMATE if >5%)
Lesser Slave Lake,27079,28566,5.491340152886001,-44.71790532454404,-49.499822606189404,s15(2),s15(2),False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 11.0% of Plan A from split DAs (APPROXIMATE if >5%)
Lethbridge-East,45151,50117,10.998648977874243,-7.823706315169981,-11.401057535335509,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 18.1% of Plan A from split DAs (APPROXIMATE if >5%)
Lethbridge-West,53009,58840,11.000018864721085,8.218492435143284,4.0198290923410935,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 20.4% of Plan A from split DAs (APPROXIMATE if >5%)
Livingstone-Macleod,50264,53999,7.430765557854528,2.614542884416647,-4.538294507863244,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 14.7% of Plan A from split DAs (APPROXIMATE if >5%)
Maskwacis-Wetaskiwin,44011,47507,7.943468678284975,-10.15102962585427,-16.015125413156895,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 17.4% of Plan A from split DAs (APPROXIMATE if >5%)
Morinville-St. Albert,51906,57199,10.197279697915462,5.966705056472435,1.1188002082396022,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 7.0% of Plan A from split DAs (APPROXIMATE if >5%)
Olds-Didsbury-Three Hills,50490,54428,7.799564270152505,3.0759245232014267,-3.7798902474857066,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 17.2% of Plan A from split DAs (APPROXIMATE if >5%)
Peace River,40289,42081,4.4478641812901785,-17.74953608407086,-25.607436641148784,pass,fail,True,DA-level area-weighted overlay; per-CSD Plan B growth factors; 12.0% of Plan A from split DAs (APPROXIMATE if >5%)
Red Deer-North,46816,51498,10.000854408749145,-4.424589374565301,-8.959667596917376,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 13.6% of Plan A from split DAs (APPROXIMATE if >5%)
Red Deer-South,53739,59113,10.000186084594057,9.708795958651644,4.502449985308617,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 12.3% of Plan A from split DAs (APPROXIMATE if >5%)
Rimbey-Rocky Mountain House-Sundre,45322,48331,6.639159789947486,-7.474607818567339,-14.55842352376041,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 22.3% of Plan A from split DAs (APPROXIMATE if >5%)
Sherwood Park,47053,52230,11.002486557711517,-3.9407511073440933,-7.665607180608849,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 30.2% of Plan A from split DAs (APPROXIMATE if >5%)
Spruce Grove-Stony Plain,53785,61762,14.831272659663474,9.80270549574943,9.185463704982505,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 17.1% of Plan A from split DAs (APPROXIMATE if >5%)
St. Albert,49002,54147,10.499571446063426,0.038155149255621065,-4.276653877243488,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 13.3% of Plan A from split DAs (APPROXIMATE if >5%)
Strathcona-Sherwood Park,48181,53480,10.99811128868226,-1.6379259367722732,-5.455804557131175,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 19.4% of Plan A from split DAs (APPROXIMATE if >5%)
Taber-Warner,44526,48280,8.431029061671833,-9.09965111269426,-14.648583470798302,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 18.5% of Plan A from split DAs (APPROXIMATE if >5%)
Vermilion-Lloydminster-Wainwright,45368,50100,10.430259213542586,-7.380698281469551,-11.431110851014807,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 11.7% of Plan A from split DAs (APPROXIMATE if >5%)
West Yellowhead,49555,52061,5.057007365553425,1.1671111061051038,-7.964372495303031,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 13.5% of Plan A from split DAs (APPROXIMATE if >5%)
