DAUID,DGUID,GEO_NAME,population_2021
48062449,2021S051248062449,48062449,497
48062452,2021S051248062452,48062452,315
48062483,2021S051248062483,48062483,498
48062486,2021S051248062486,48062486,333
48062487,2021S051248062487,48062487,931
48062495,2021S051248062495,48062495,849
48062659,2021S051248062659,48062659,247
48062660,2021S051248062660,48062660,1573
48062661,2021S051248062661,48062661,401
48062662,2021S051248062662,48062662,527
48062663,2021S051248062663,48062663,463
48062665,2021S051248062665,48062665,461
48062668,2021S051248062668,48062668,379
48062669,2021S051248062669,48062669,26
48062821,2021S051248062821,48062821,450
48062038,2021S051248062038,48062038,705
48062039,2021S051248062039,48062039,553
48062040,2021S051248062040,48062040,512
48062041,2021S051248062041,48062041,2304
48062042,2021S051248062042,48062042,473
48062043,2021S051248062043,48062043,412
48062044,2021S051248062044,48062044,382
48062045,2021S051248062045,48062045,386
48062046,2021S051248062046,48062046,386
48062047,2021S051248062047,48062047,200
48062048,2021S051248062048,48062048,1144
48062049,2021S051248062049,48062049,811
48062052,2021S051248062052,48062052,280
48062053,2021S051248062053,48062053,364
48062054,2021S051248062054,48062054,214
48062055,2021S051248062055,48062055,371
48062056,2021S051248062056,48062056,374
48062057,2021S051248062057,48062057,401
48062795,2021S051248062795,48062795,870
48062796,2021S051248062796,48062796,1111
48062797,2021S051248062797,48062797,1052
48062822,2021S051248062822,48062822,1019
48061911,2021S051248061911,48061911,297
48061904,2021S051248061904,48061904,488
48061905,2021S051248061905,48061905,1139
48061906,2021S051248061906,48061906,984
48062085,2021S051248062085,48062085,387
48062086,2021S051248062086,48062086,447
48062666,2021S051248062666,48062666,628
48062670,2021S051248062670,48062670,1268
48061916,2021S051248061916,48061916,610
48061917,2021S051248061917,48061917,1328
48061918,2021S051248061918,48061918,571
48061919,2021S051248061919,48061919,812
48061921,2021S051248061921,48061921,660
48061922,2021S051248061922,48061922,387
48061923,2021S051248061923,48061923,290
48061924,2021S051248061924,48061924,740
48061927,2021S051248061927,48061927,878
48061928,2021S051248061928,48061928,621
48061929,2021S051248061929,48061929,685
48061932,2021S051248061932,48061932,421
48061933,2021S051248061933,48061933,497
48061934,2021S051248061934,48061934,420
48061935,2021S051248061935,48061935,476
48061936,2021S051248061936,48061936,460
48061937,2021S051248061937,48061937,2618
48062489,2021S051248062489,48062489,1573
48062491,2021S051248062491,48062491,383
48062492,2021S051248062492,48062492,1685
48062493,2021S051248062493,48062493,1233
48062644,2021S051248062644,48062644,282
48062645,2021S051248062645,48062645,662
48062646,2021S051248062646,48062646,657
48062647,2021S051248062647,48062647,873
48062648,2021S051248062648,48062648,835
48062649,2021S051248062649,48062649,930
48062650,2021S051248062650,48062650,1624
48062651,2021S051248062651,48062651,837
48062652,2021S051248062652,48062652,1368
48062653,2021S051248062653,48062653,1239
48062654,2021S051248062654,48062654,605
48062655,2021S051248062655,48062655,671
48062656,2021S051248062656,48062656,783
48062657,2021S051248062657,48062657,852
48062658,2021S051248062658,48062658,839
48061816,2021S051248061816,48061816,802
48061817,2021S051248061817,48061817,678
48061818,2021S051248061818,48061818,516
48061819,2021S051248061819,48061819,771
48061821,2021S051248061821,48061821,526
48061822,2021S051248061822,48061822,551
48061823,2021S051248061823,48061823,605
48061847,2021S051248061847,48061847,524
48061848,2021S051248061848,48061848,1070
48061849,2021S051248061849,48061849,733
48061850,2021S051248061850,48061850,393
48061851,2021S051248061851,48061851,375
48061852,2021S051248061852,48061852,999
48061853,2021S051248061853,48061853,747
48061854,2021S051248061854,48061854,569
48061855,2021S051248061855,48061855,1563
48061868,2021S051248061868,48061868,467
48061889,2021S051248061889,48061889,485
48061890,2021S051248061890,48061890,368
48061899,2021S051248061899,48061899,487
48061963,2021S051248061963,48061963,2159
48061964,2021S051248061964,48061964,1072
48061965,2021S051248061965,48061965,2336
48061966,2021S051248061966,48061966,453
48061967,2021S051248061967,48061967,519
48061980,2021S051248061980,48061980,1483
48062012,2021S051248062012,48062012,599
48062013,2021S051248062013,48062013,438
48062014,2021S051248062014,48062014,587
48062015,2021S051248062015,48062015,494
48062016,2021S051248062016,48062016,510
48062019,2021S051248062019,48062019,488
48062090,2021S051248062090,48062090,1181
48062091,2021S051248062091,48062091,769
48062092,2021S051248062092,48062092,554
48062093,2021S051248062093,48062093,568
48062103,2021S051248062103,48062103,596
48062104,2021S051248062104,48062104,557
48062378,2021S051248062378,48062378,859
48062379,2021S051248062379,48062379,447
48062380,2021S051248062380,48062380,635
48062389,2021S051248062389,48062389,861
48062394,2021S051248062394,48062394,457
48062396,2021S051248062396,48062396,2130
48062398,2021S051248062398,48062398,1001
48062400,2021S051248062400,48062400,824
48062403,2021S051248062403,48062403,250
48062404,2021S051248062404,48062404,456
48062405,2021S051248062405,48062405,449
48062407,2021S051248062407,48062407,563
48062410,2021S051248062410,48062410,290
48062412,2021S051248062412,48062412,257
