perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
71,-6.079078050514535,0.6569167251294717,6.735994775644007,-1.429887586408074,-1.5144765941007665,-0.07141207960854169,-0.02485562903603197,48,44,42,35,True,True,0.916727271643466,0.8954028973834941
72,-2.7220107672223595,0.8260189316076414,3.548029698830001,-1.2608166920480168,-1.887855448323783,-0.058826288337989266,-0.01290888908258073,49,45,41,34,True,True,0.916725901553704,0.8956442265262096
73,-2.4837938475516452,0.7868985281408049,3.27069237569245,-1.4169244952594806,-1.7606234102894414,-0.046042553161276485,-0.012402509775707726,49,46,40,34,True,True,0.9167320090056266,0.8956997626202747
74,-5.490818810097975,0.6837574639886055,6.174576274086581,-1.7358589227417731,-1.5743906947266795,-0.05891317687113886,-0.011562957282522239,49,44,41,34,True,True,0.916612857208135,0.895357702295795
75,-2.2369223968073837,0.6626611459892104,2.899583542796594,-1.5188548757196718,-1.8686226913190829,-0.04597014733745674,-0.037113851583822424,49,47,40,36,True,True,0.9168374112081389,0.8952480679215203
76,-5.553763859044826,0.5729340859010965,6.126697944945923,-1.2246757201299807,-1.471431315076177,-0.05815096611996718,-0.027138976677289997,48,44,41,35,True,True,0.9167376086543869,0.8956566909827519
77,-2.354039039997971,0.7083722506287198,3.0624112906266907,-1.4388057285826983,-1.4891659407896218,-0.04453954160363538,-0.015657537270156015,49,44,40,34,True,True,0.9167946856945712,0.8947915091272065
78,-2.214850958819483,0.5702978018622368,2.7851487606817202,-1.3894643396503648,-1.8313253234654547,-0.045612110472077264,-0.03672131218865457,49,46,40,36,True,True,0.9166788959852905,0.8950900874738207
79,-2.370682888911232,0.9243955220841908,3.295078410995423,-1.7105111789526894,-1.9500412693654434,-0.04610353543944597,-0.01129630635670465,49,46,40,34,True,True,0.9167929123116703,0.8954177590630569
80,-5.495389409078627,0.8230061766738177,6.318395585752445,-1.763679689538955,-1.393670166749994,-0.05898538881152578,-0.013335977332380265,49,44,41,34,True,True,0.9166987336867854,0.8956750859059688
