map,name,tier,confidence,area_km2,perimeter_km,polsby_popper,reock
majority_2026_approx,Cochrane-Springbank,C,low,,,,
majority_2026_approx,Cold Lake-Bonnyville-St. Paul,C,low,,,,
majority_2026_approx,Drumheller-Stettler,A,high,36548.494011877985,1093.1824633027632,0.3843209313121662,0.5858785760171471
majority_2026_approx,Fort McMurray-Lac La Biche,C,low,,,,
majority_2026_approx,Fort McMurray-Wood Buffalo,A,high,86353.31538184448,1519.0501324294498,0.4702671757487431,0.4575018908461105
majority_2026_approx,Fort Saskatchewan-Vegreville,A,high,9118.35047191751,560.4086984209488,0.3648517297003723,0.3962084380894053
majority_2026_approx,Grande Prairie,A,high,111.13441968098037,59.3009980498282,0.39713159922888885,0.5082942827202849
majority_2026_approx,Grande Prairie-Wapiti,A,high,16018.21503516566,722.1290923949646,0.386006217503667,0.49418088968709906
majority_2026_approx,High River-Vulcan-Siksika,C,low,,,,
majority_2026_approx,Lacombe-Clearwater,A,high,3666.0907729195146,319.6835038579059,0.4507882887280693,0.5998964092408314
majority_2026_approx,Leduc-Devon,C,low,,,,
majority_2026_approx,Lesser Slave Lake,A,high,69566.09043849385,1195.9141164241958,0.6112339613607735,0.6545216594053063
majority_2026_approx,Lethbridge-East,C,low,,,,
majority_2026_approx,Lethbridge-West,C,low,,,,
majority_2026_approx,Livingstone-Macleod,A,high,14146.132273385081,776.5583112802045,0.29478096366967105,0.48513522481163174
majority_2026_approx,Lloydminster-Wainwright,A,high,10090.974332164466,528.3279568368033,0.45429272376058033,0.500154989349523
majority_2026_approx,Medicine Hat-Brooks,C,low,,,,
majority_2026_approx,Medicine Hat-Cypress,A,high,6113.4688897793885,411.1505074319066,0.4544602565965968,0.4302288137450547
majority_2026_approx,Mountain View-Kneehill,C,low,,,,
majority_2026_approx,Okotoks-Diamond Valley,C,low,,,,
majority_2026_approx,Peace River,A,high,109221.98362246608,1693.9775977302168,0.4783046449051294,0.5434010179056261
majority_2026_approx,Red Deer-North,A,high,71.8067619399649,46.435051945439604,0.41848831450645185,0.4795347762180014
majority_2026_approx,Red Deer-South,A,high,35.04143599512207,28.27045946873485,0.5509675551709581,0.4789844388625729
majority_2026_approx,Sherwood Park,A,high,62.74204777367642,45.14083089716479,0.38692737369840513,0.47093868962766716
