map,OBJECTID,parent_ed_2019,VA_NUMBER,ed_2026,area_weight,va_ndp_full_share,va_ucp_full_share,va_other_full_share,fallback
majority,2241,Calgary-Falconridge,040,Calgary-Falconridge-Conrich,0.5335637290485467,96.15010907289101,55.5439637685071,4.653248651080714,True
majority,2253,Grande Prairie-Wapiti,029,Grande Prairie-Wapiti,1.0,29.621325320773106,167.1655838882573,6.564844891992854,True
majority,2262,Grande Prairie-Wapiti,044,Grande Prairie-Wapiti,1.0,66.8638135455579,241.15047912944615,8.231931135293163,True
majority,2264,Lac Ste. Anne-Parkland,038,Edmonton-Enoch,1.0,58.597493424106446,186.8540461086183,9.410444066223116,True
majority,2270,Edmonton-Gold Bar,025,Edmonton-Gold Bar,0.023154705038581525,5.925188195582304,1.8014082385421368,0.22436770115087967,True
majority,2285,Calgary-Bow,005,Calgary-Bow,0.6745340697732021,134.82057754992334,148.83655284444018,7.941860968842851,True
majority,2300,Calgary-Currie,008,Calgary-Currie,0.5092352895272655,157.45556144457578,91.74369381962134,10.631787484110447,True
majority,2315,Calgary-Bhullar-McCall,032,Calgary-Bhullar-McCall,0.33186517733938237,72.3884522114648,53.70936866009157,0.0,True
majority,2316,Calgary-Bhullar-McCall,031,Calgary-Bhullar-McCall,0.5400015333811699,117.78842090836548,87.39434991615254,0.0,True
majority,2327,Edmonton-City Centre,058,Edmonton-City Centre,0.008209782097118645,1.6176354312453356,0.4317336986924756,0.04896133923852953,True
majority,2330,Calgary-Lougheed,010,Calgary-Lougheed,0.005709493741636651,1.2438060338518064,1.6204453980135831,0.08899091637063886,True
majority,2331,Calgary-Lougheed,009,Calgary-Lougheed,0.18966985331976116,37.523595282097524,53.131186145970524,3.1194846173831414,True
majority,2344,Calgary-Foothills,026,Calgary-Nose Creek,0.45590499962303543,110.68537831358758,105.4422044738234,2.1151526397132816,True
majority,2347,Edmonton-Riverview,040,Edmonton-Glenora-Riverview,0.34438151697430486,87.60237840728566,28.9058106587426,4.465463247992872,True
majority,2348,Edmonton-Rutherford,016,Edmonton-Rutherford,0.5624571622963264,154.55464951660434,73.35188571910247,7.569303582637277,True
majority,2363,Calgary-Hays,019,Calgary-Hays,0.3630543301003857,53.055942237079314,65.67716010004425,3.0519512887479285,True
majority,2364,Calgary-Hays,018,Calgary-Hays,0.28522719996424717,41.68246069827248,51.59809682412957,2.3977114397069754,True
majority,2365,Grande Prairie-Wapiti,067,Grande Prairie-Wapiti,0.4854090384999662,40.482301773688064,175.10324939569458,11.484866938486512,True
majority,2369,Edmonton-Rutherford,041,Edmonton-Rutherford,0.9089423565548812,239.63377610266062,125.03128599457828,9.4563425603252,True
majority,2372,Edmonton-Riverview,033,Edmonton-Glenora-Riverview,0.06838841115418837,22.439113870531774,10.030703816298145,0.9700824221491622,True
majority,2374,Calgary-East,068,Calgary-East,1.0,110.71391801715919,122.40467111534794,11.993994280266921,True
majority,2375,Calgary-East,064,Calgary-East,1.0,143.18255481410867,153.86606291706386,14.065061963775022,True
majority,2381,Rimbey-Rocky Mountain House-Sundre,008,Lacombe-Clearwater,1.0,29.090153653182817,157.27240514267794,25.0288491690185,True
majority,2382,Calgary-Lougheed,037,Calgary-Lougheed,0.0006485271080083344,0.06873354626205845,0.10158229245188005,0.00546627984543274,True
majority,2383,Grande Prairie-Wapiti,066,Grande Prairie-Wapiti,0.11068955622889876,1.8216584949751262,10.748338837801978,0.6853421987623785,True
majority,2409,Grande Prairie-Wapiti,052,Grande Prairie-Wapiti,1.0,72.9997022359374,207.5318336852363,10.110226842076768,True
majority,2413,Calgary-North,029,Calgary-North,0.35623808178504424,77.44221708147008,80.21538676179095,0.0,True
majority,2414,Grande Prairie-Wapiti,038,Grande Prairie-Wapiti,0.9999999925686411,64.69436365761204,194.78434157668775,8.922657071909196,True
majority,2418,Calgary-South East,007,Calgary-South East,0.0039780967370768305,0.6663435118848426,1.0647227204518774,0.03677094739596863,True
majority,2422,Calgary-Bhullar-McCall,030,Calgary-Bhullar-McCall,0.5097756566996205,90.27944468893355,72.38920919367055,0.0,True
majority,2424,Lac Ste. Anne-Parkland,008,Edmonton-Enoch,1.0,83.21576667182424,285.12238898344424,15.017638867399041,True
majority,2427,Calgary-Cross,012,Calgary-Cross,0.8813795411257161,133.085205290701,163.70357629622055,10.714144151433183,True
majority,2430,Calgary-Bhullar-McCall,006,Calgary-Bhullar-McCall,1.0,199.36091886320128,128.4989692239729,0.0,True
majority,2431,Calgary-Bhullar-McCall,005,Calgary-Bhullar-McCall,1.0,199.36091886320128,128.4989692239729,0.0,True
majority,2441,Cardston-Siksika,040,High River-Vulcan-Siksika,1.0,37.4644412191582,182.99184994975997,18.5126716534554,True
majority,2448,Edmonton-Gold Bar,043,Edmonton-Gold Bar,0.30155442732055193,71.87447765517749,23.872797812639636,3.3619936080239974,True
majority,2454,Edmonton-North West,031,Edmonton-North West,0.0011769789083257987,0.24920376454930124,0.17888759602317317,0.01126007864156126,True
majority,2460,Rimbey-Rocky Mountain House-Sundre,067,Lacombe-Clearwater,1.0,44.8936970837253,201.7729727187206,48.18598306679209,True
majority,2470,Rimbey-Rocky Mountain House-Sundre,018,Lacombe-Clearwater,0.9999999999999779,57.53541190700047,284.0455583926829,88.34847466738147,True
