perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
23,-2.393713742762651,1.0647159812229834,3.4584297239856343,-1.9823570854161698,-2.1807814244200587,-0.045082843776318854,-0.008285500483385805,49,47,40,34,True,True,0.9153739988586604,0.8950820830665864
24,-2.1902931006246416,1.2728540195454936,3.4631471201701354,-1.9177204814677273,-1.7383984419019394,-0.04562326785763905,-0.023997667701412255,49,45,40,35,True,True,0.9156111360323086,0.8951717057367962
25,-5.254575484379511,2.411126992019837,7.665702476399347,-1.8622757327182937,-1.5949061696013123,-0.0435298335040575,-0.02104099290269819,49,46,40,35,True,True,0.9156394918274485,0.8952283940321919
26,-5.6102960510097395,1.3760804903021318,6.986376541311872,-1.3674375712311948,-2.218839436287051,-0.04262793805021637,-0.020816547560224212,49,46,40,35,True,True,0.9156099421174808,0.8949817299049999
27,-2.407137094265522,0.6753405198068951,3.0824776140724173,-1.4591849306478777,-1.6668991256199028,-0.04220394132606306,-0.02577339288626479,49,45,40,35,True,True,0.9152352420917946,0.8951164379130195
28,-2.530557201702262,0.5584500198174001,3.0890072215196622,-2.1091973479103077,-1.5540234047490553,-0.057689745693185766,-0.03360467454482081,49,46,41,36,True,True,0.9151224536643386,0.8953695259928631
29,-5.2155433916499145,2.7268749957773553,7.942418387427269,-1.1124516547342533,-1.8962521396216736,-0.04349340445995579,0.0034570023081475533,49,45,40,33,True,True,0.9155474343550846,0.8951508359232208
30,-5.3000517598894925,0.6140612836195568,5.914113043509049,-1.6858990081023095,-1.101905924041996,-0.0568482789489301,-0.02130399520665495,48,43,41,35,True,True,0.9155278334724019,0.8950801998616444
31,-5.578431888213015,2.1166340992702763,7.695065987483292,-1.327593754255707,-1.6140082258271904,-0.055788829070469156,-0.026135837478714372,48,45,41,35,True,True,0.9154597179360942,0.8954331384855903
32,-4.750268758807212,0.9426304084190145,5.692899167226226,-1.6629941866309783,-1.6537087404021988,-0.05466424996503231,-0.01923662996402019,49,47,41,35,True,True,0.9151460949336442,0.8952501186715364
33,-5.562033194620361,0.5047864780958955,6.066819672716257,-1.1769591815710467,-1.4569419961622698,-0.05597323281531493,-0.02533495377292261,49,44,41,35,True,True,0.9157572581135273,0.8955436742553767
34,-5.2227536935638295,0.4757901225654871,5.698543816129317,-1.4899968712433709,-1.3447203271264419,-0.042065910054003286,-0.010988964848781365,49,43,40,34,True,True,0.9152271749851364,0.8951119176705218
35,-2.635629356939793,2.21051228720316,4.846141644142953,-1.241930296613536,-1.7995392051040782,-0.04477305515927985,-0.01914850208785742,49,46,40,35,True,True,0.9158961478172991,0.8942438103262402
36,-5.519357265497195,0.4186222213924625,5.937979486889658,-1.6331769462923695,-1.413636818210301,-0.05586327398144672,-0.030899027057284326,50,45,41,36,True,True,0.9153016913578474,0.8953342964098598
37,-1.99253233665138,0.7454671745753303,2.73799951122671,-1.6608335056051193,-1.6296865646903191,-0.029527806940931656,-0.035187830544622704,49,45,39,36,True,True,0.9154357999846172,0.895083372069516
38,-5.303569577866685,-0.14663501901227996,5.156934558854405,-1.9235517326967877,-1.4518746268838922,-0.05657907621968987,-0.027842800749281936,48,44,41,35,True,True,0.9152840234982775,0.8954368288319936
39,-2.258743825594276,0.962830499366302,3.221574324960578,-1.580247411553265,-2.2785946044984797,-0.042866215711715686,-0.02038968030606096,50,46,40,35,True,True,0.9155522621145022,0.8949242539193024
40,-2.2984581665747834,0.5763147487943904,2.874772915369174,-1.5983297518810724,-1.560225621536443,-0.0314744318980044,-0.03427052271341222,49,45,39,36,True,True,0.9151940735650894,0.8946918725918347
41,-1.7879016087465185,0.5965082677620404,2.384409876508559,-1.5692007974893507,-1.731159921411085,-0.044123796706730035,-0.03599417629517351,49,47,40,36,True,True,0.9154878648194459,0.8954376679656182
42,-3.712206500624461,0.5131896065778913,4.225396107202353,-1.8705975689931875,-1.577658403982074,-0.032254134167912674,-0.035098320784433,49,45,39,36,True,True,0.915625248555333,0.8950880517641603
43,-2.465096153832235,-1.0849300400189765,1.3801661138132586,-1.4499542921399489,-1.6564771597782635,-0.04410951449116546,-0.045836030949967896,49,46,40,37,True,True,0.9154835247560354,0.8954440049019741
44,-4.550128967046845,0.3747651915017052,4.92489415854855,-1.1294762925116164,-1.7035084005139978,-0.05642490564551654,-0.030968878261090654,50,46,41,36,True,True,0.9154466063280736,0.8950478536963732
45,-2.258098377577567,0.799356581789213,3.0574549593667797,-2.038759860358741,-1.9626951916821067,-0.0436966543748276,-0.03396264412776054,48,45,40,36,True,True,0.9154207352570257,0.8951158326741787
46,-2.0815425944004593,0.7815183965515372,2.863060990951997,-1.6158255006423539,-1.4830529376796797,-0.04343141228373571,-0.02378374163676344,49,44,40,35,True,True,0.9153264059385209,0.8950748671222165
47,-2.726126564792658,0.1493504687465876,2.875477033539245,-1.6904636191131805,-1.2931227533204082,-0.057155439766461286,-0.03373128069468894,48,44,41,36,True,True,0.9157730080006101,0.8954934454398377
48,-2.214453163188409,1.9690800028867694,4.183533166075178,-1.2777663815720652,-1.437232753721046,-0.043878870512481113,-0.020122710023613273,49,45,40,35,True,True,0.9153932821241624,0.8953490294669795
49,-2.5109834552194665,0.1960831718265189,2.7070666270459856,-1.2499354863197643,-1.0114047748201738,-0.04323146851558683,-0.035577106115958865,50,44,40,36,True,True,0.9157824099749304,0.8951454305403215
50,-2.37425584274346,0.8346790590964449,3.208934901839905,-1.2036723830884,-0.9423189589508663,-0.04274010305840569,-0.01098387101222068,49,42,40,34,True,True,0.9151085646516748,0.8953612609829489
51,-4.318867939844635,0.4023443892082263,4.721212329052862,-1.1600594335497927,-1.5727002289164294,-0.044217771536912726,-0.02347028855495704,49,45,40,35,True,True,0.9155594422022081,0.8955686884753299
52,-2.503423720324004,0.5930239124745088,3.096447632798513,-1.395059450465863,-1.9113766246078245,-0.043130515209943356,-0.021813753845970115,49,48,40,35,True,True,0.9155549865653793,0.8955742494278321
53,-2.381465373325642,2.3790381245428147,4.760503497868457,-1.7259667094245368,-1.7861754733478619,-0.04373441950698222,-0.01192963153770259,49,45,40,34,True,True,0.9153203168819979,0.8947912421380442
54,-5.442758897975073,0.6640255570180794,6.106784454993154,-1.7241409590220358,-1.7207702362586397,-0.04346869656135648,-0.033800206195152886,48,45,40,36,True,True,0.9156305999982739,0.8954616584906487
55,-2.0697375740945523,0.6984375120017675,2.7681750860963197,-1.6038835912857818,-1.8776346951663525,-0.04405630151750074,-0.03560510466865335,49,46,40,36,True,True,0.915536840598899,0.8954954242635753
56,-2.3613555522511844,0.9732416802763346,3.334597232527519,-1.2930372146515268,-1.5942669861316316,-0.04432843556791649,-0.022754257867524098,49,46,40,35,True,True,0.9153319977726194,0.89534272069581
