va_id,parent_ed_2019,va_ndp,va_ucp,va_other,assigned_2026_majority,maj_method,maj_confidence,assigned_2026_minority,min_method,min_confidence
Livingstone-Macleod|045,Livingstone-Macleod,76.0,318.0,40.0,Livingstone-Macleod,crosswalk,high,Lethbridge-Fort MacLeod-Crowsnest Pass,spatial,high
Sherwood Park|026,Sherwood Park,124.66666666666667,107.66666666666667,14.0,Sherwood Park,crosswalk,high,Sherwood Park,crosswalk,high
Calgary-North East|037,Calgary-North East,88.0,63.5,0.0,Calgary-North East,crosswalk,high,Calgary-North East,crosswalk,high
Leduc-Beaumont|034,Leduc-Beaumont,85.8,145.2,5.6,Leduc-Devon,spatial,high,Edmonton-Beaumont,candidate,medium
Peace River|012,Peace River,62.0,114.0,4.666666666666667,Peace River,crosswalk,high,Peace River,crosswalk,high
Calgary-West|016,Calgary-West,89.71428571428571,118.85714285714286,3.0,Calgary-Currie,spatial,high,Calgary-West-Tsuut'ina,spatial,high
Calgary-North East|059,Calgary-North East,69.0909090909091,44.63636363636363,0.0,Calgary-North East,crosswalk,high,Calgary-North East,crosswalk,high
Edmonton-Beverly-Clareview|017,Edmonton-Beverly-Clareview,86.4,65.4,9.0,Edmonton-Beverly-Clareview,crosswalk,high,Edmonton-Beverly-Clareview,crosswalk,high
Fort McMurray-Wood Buffalo|036,Fort McMurray-Wood Buffalo,8.0,4.0,3.0,Fort McMurray-Wood Buffalo,crosswalk,high,Fort McMurray-Wood Buffalo,crosswalk,high
Peace River|040,Peace River,22.333333333333332,33.333333333333336,2.3333333333333335,Peace River,crosswalk,high,Peace River,crosswalk,high
Strathcona-Sherwood Park|033,Strathcona-Sherwood Park,114.0,100.0,6.0,Strathcona-Sherwood Park,crosswalk,high,Edmonton-Gold Bar,spatial,high
Edmonton-City Centre|002,Edmonton-City Centre,74.8,42.0,3.2,Edmonton-City Centre,crosswalk,high,Edmonton-City Centre,crosswalk,high
Red Deer-North|048,Red Deer-North,100.33333333333333,158.33333333333334,7.333333333333333,Red Deer-North,crosswalk,high,Red Deer-Blackfalds,crosswalk,high
Rimbey-Rocky Mountain House-Sundre|039,Rimbey-Rocky Mountain House-Sundre,14.625,114.875,23.875,Sylvan Lake-Innisfail,nearest_ed,low,Rocky Mountain House-Banff Park,spatial,high
Airdrie-Cochrane|022,Airdrie-Cochrane,69.2,112.26666666666667,7.066666666666666,Cochrane-Springbank,spatial,high,Calgary-Airdrie,spatial,high
Lacombe-Ponoka|046,Lacombe-Ponoka,38.5,167.33333333333334,16.333333333333332,Lacombe-Clearwater,spatial,high,Red Deer-Lacombe,spatial,high
Lacombe-Ponoka|032,Lacombe-Ponoka,54.0,141.57142857142858,29.0,Lacombe-Clearwater,spatial,high,Red Deer-Lacombe,crosswalk_split_default,medium
Grande Prairie|001,Grande Prairie,90.0,175.33333333333334,11.0,Grande Prairie,crosswalk,high,Grande Prairie,crosswalk,high
Calgary-Lougheed|031,Calgary-Lougheed,100.4,123.8,10.0,Calgary-Lougheed,crosswalk,high,Calgary-Lougheed,crosswalk,high
Calgary-Buffalo|058,Calgary-Buffalo,67.77777777777777,58.333333333333336,3.7777777777777777,Calgary-Buffalo,spatial,high,Calgary-Buffalo,crosswalk,high
Red Deer-South|035,Red Deer-South,127.66666666666667,176.0,6.666666666666667,Red Deer-South,crosswalk,high,Red Deer-Blackfalds,spatial,high
Grande Prairie-Wapiti|048,Grande Prairie-Wapiti,29.166666666666668,69.83333333333333,5.5,Grande Prairie-Wapiti,crosswalk,high,Grande Prairie-Wapiti,crosswalk,high
St. Albert|044,St. Albert,149.66666666666666,114.0,6.666666666666667,St. Albert,crosswalk,high,St. Albert,crosswalk,high
Rimbey-Rocky Mountain House-Sundre|043,Rimbey-Rocky Mountain House-Sundre,19.75,142.0,56.5,Sylvan Lake-Innisfail,nearest_ed,low,Rocky Mountain House-Banff Park,crosswalk,high
Maskwacis-Wetaskiwin|009,Maskwacis-Wetaskiwin,52.5,108.5,4.5,Wetaskiwin-Ponoka-Maskwacis,spatial,high,Wetaskawin-Ponoka-Maskwacis,spatial,high
Cardston-Siksika|035,Cardston-Siksika,50.0,106.6,8.6,Lethbridge-West,nearest_ed,low,Lethbridge-Fort MacLeod-Crowsnest Pass,spatial,high
Calgary-Lougheed|021,Calgary-Lougheed,95.2,140.6,7.0,Calgary-Lougheed,crosswalk,high,Calgary-Lougheed,crosswalk,high
Calgary-Elbow|048,Calgary-Elbow,104.0,115.4,13.0,Calgary-Elbow,crosswalk,high,Calgary-Elbow,crosswalk,high
Calgary-Fish Creek|004,Calgary-Fish Creek,126.33333333333333,153.83333333333334,6.833333333333333,Calgary-Fish Creek,crosswalk,high,Calgary-Acadia,spatial,high
Red Deer-North|026,Red Deer-North,83.66666666666667,91.0,8.0,Red Deer-North,crosswalk,high,Red Deer-Blackfalds,crosswalk,high
Calgary-North|007,Calgary-North,78.2,102.4,0.0,Calgary-North,crosswalk,high,Calgary-North,crosswalk,high
