OBJECTID,VA_NUMBER,parent_ed_2019,va_ndp,va_ucp,va_other,ed_2026_maj,ed_2026_min
1505,037,Edmonton-Whitemud,107.66666666666667,78.0,7.0,Edmonton-Whitemud,Edmonton-Whitemud
1506,048,Brooks-Medicine Hat,77.42857142857143,121.14285714285714,8.285714285714286,Medicine Hat-Brooks,Medicine Hat-Brooks
1507,048,Lacombe-Ponoka,43.333333333333336,189.0,21.666666666666668,Drumheller-Stettler,Red Deer-Blackfalds
1508,022,Leduc-Beaumont,88.2,115.8,5.6,Leduc-Devon,Leduc
1509,036,Olds-Didsbury-Three Hills,54.0,236.0,20.4,Mountain View-Kneehill,Olds-Three Hills-Didsbury
1510,020,Olds-Didsbury-Three Hills,67.28571428571429,243.57142857142858,19.0,Mountain View-Kneehill,Olds-Three Hills-Didsbury
1511,030,Leduc-Beaumont,55.888888888888886,98.55555555555556,5.222222222222222,Leduc-Devon,Leduc
1512,002,Sherwood Park,142.0,123.33333333333333,23.666666666666668,Sherwood Park,Sherwood Park
1513,027,Edmonton-North West,98.8,69.6,3.2,Edmonton-North West,Edmonton-North West
1514,039,Edmonton-Strathcona,177.75,52.75,5.0,Edmonton-Strathcona,Edmonton-Strathcona
1515,036,Calgary-Fish Creek,94.5,138.0,7.25,Calgary-Fish Creek,Calgary-Fish Creek
1516,022,Cypress-Medicine Hat,101.85714285714286,189.85714285714286,21.428571428571427,Medicine Hat-Cypress,Medicine Hat-Cypress
1517,005,Drumheller-Stettler,24.0,240.0,8.0,Drumheller-Stettler,Drumheller-Stettler
1518,067,Fort Saskatchewan-Vegreville,78.0,112.0,6.8,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville
1519,004,Livingstone-Macleod,27.0,111.0,4.666666666666667,High River-Vulcan-Siksika,Canmore-Kananaskis
1520,052,Calgary-Shaw,82.6,110.3,2.3,Calgary-Shaw,Calgary-De Winton
1521,050,Calgary-Shaw,82.9090909090909,104.54545454545455,1.5454545454545454,Calgary-Shaw,Calgary-De Winton
1522,047,Calgary-Shaw,82.9090909090909,104.54545454545455,1.5454545454545454,Calgary-Shaw,Calgary-De Winton
1523,036,Drayton Valley-Devon,63.44444444444444,111.22222222222223,8.777777777777779,Leduc-Devon,Edmonton-Enoch-Devon
1524,005,Spruce Grove-Stony Plain,110.0,159.14285714285714,6.857142857142857,Spruce Grove,Edmonton-Spruce Grove
1525,007,Camrose,33.666666666666664,124.5,24.166666666666668,Camrose,Camrose
1526,019,Calgary-Lougheed,85.0,126.0,9.0,Calgary-Lougheed,Calgary-Lougheed
1527,010,Cardston-Siksika,28.166666666666668,98.66666666666667,10.666666666666666,High River-Vulcan-Siksika,Lethbridge-Little Bow
1528,008,Edmonton-West Henday,134.25,91.5,8.0,Edmonton-West Henday,Edmonton-West Henday
1529,050,Edmonton-South West,59.22222222222222,50.111111111111114,1.5555555555555556,Edmonton-Windermere,Edmonton-Windermere
1530,012,Edmonton-Castle Downs,113.33333333333333,90.0,7.666666666666667,Edmonton-Castle Downs,Edmonton-Castledowns
1531,065,Edmonton-South,72.0,47.22222222222222,2.6666666666666665,Edmonton-South,Edmonton-South
1532,020,Edmonton-Castle Downs,100.75,94.25,9.25,Edmonton-Castle Downs,Edmonton-Castledowns
1533,031,Calgary-North East,147.0,117.25,0.0,Calgary-Nose Creek,Calgary-Airdrie
1534,045,Calgary-Klein,72.0,96.66666666666667,7.333333333333333,Calgary-Confluence,Calgary-East
1535,005,Calgary-Buffalo,93.42857142857143,52.285714285714285,3.857142857142857,Calgary-Elbow,Calgary-Elbow
1536,031,Calgary-Elbow,106.66666666666667,102.16666666666667,7.833333333333333,Calgary-Elbow,Calgary-Elbow
1537,021,Edmonton-City Centre,79.44444444444444,26.77777777777778,3.6666666666666665,Edmonton-City Centre,Edmonton-City Centre
1538,018,Edmonton-City Centre,79.44444444444444,26.77777777777778,3.6666666666666665,Edmonton-City Centre,Edmonton-City Centre
1539,024,Grande Prairie,74.0,127.66666666666667,7.666666666666667,Grande Prairie,Grande Prairie
1540,009,Edmonton-Glenora,167.66666666666666,87.0,7.666666666666667,Edmonton-Glenora-Riverview,Edmonton-Glenora-Riverview
1541,023,Edmonton-Glenora,117.5,66.5,3.5,Edmonton-Glenora-Riverview,Edmonton-Glenora-Riverview
1542,060,Lac Ste. Anne-Parkland,51.0,131.0,8.0,St. Albert-Sturgeon,Lac Ste Anne-Parkland
1543,044,Calgary-Elbow,72.6,88.8,9.2,Calgary-Elbow,Calgary-Elbow
1544,001,Calgary-Elbow,104.25,83.5,13.25,Calgary-Glenmore-Tsuut'ina,Calgary-West-Tsuut'ina
1545,037,Edmonton-North West,122.66666666666667,103.0,4.0,Edmonton-North West,Edmonton-North West
1546,012,Calgary-Buffalo,94.44444444444444,52.111111111111114,3.5555555555555554,Calgary-Buffalo,Calgary-Buffalo
1547,024,Edmonton-City Centre,67.6,26.0,1.4,Edmonton-City Centre,Edmonton-City Centre
1548,048,Calgary-West,74.375,121.125,2.25,Calgary-West-Elbow Valley,Calgary-West-Tsuut'ina
1549,002,Airdrie-Cochrane,38.0,95.33333333333333,2.8333333333333335,Cochrane-Springbank,Calgary-North West-Bearspaw
1550,051,Innisfail-Sylvan Lake,37.3,128.9,5.25,Sylvan Lake-Innisfail,Red Deer-Sylvan Lake
1551,006,Edmonton-South,113.71428571428571,98.71428571428571,2.5714285714285716,Edmonton-Whitemud,Edmonton-Whitemud
1552,004,Edmonton-Decore,66.0,60.0,9.5,Edmonton-Decore,Edmonton-Decore
1553,009,Edmonton-Manning,102.33333333333333,87.0,7.333333333333333,Edmonton-Manning,Edmonton-Manning
1554,006,Edmonton-Manning,102.33333333333333,87.0,7.333333333333333,Edmonton-Manning,Edmonton-Manning
1555,040,Airdrie-Cochrane,75.85714285714286,111.85714285714286,5.285714285714286,Cochrane-Springbank,Calgary-Nolan Hill-Cochrane
1556,019,Calgary-Shaw,54.75,63.0,1.5,Calgary-Lougheed,Calgary-Fish Creek
1557,036,Calgary-Lougheed,52.666666666666664,82.5,4.666666666666667,Calgary-Fish Creek,Calgary-Lougheed
1558,013,Chestermere-Strathmore,49.6,125.4,6.2,Chestermere-Strathmore,Chestermere-Strathmore
1559,010,Chestermere-Strathmore,55.285714285714285,159.14285714285714,9.571428571428571,Chestermere-Strathmore,Chestermere-Strathmore
1560,008,Chestermere-Strathmore,49.6,125.4,6.2,Chestermere-Strathmore,Chestermere-Strathmore
1561,007,Chestermere-Strathmore,55.285714285714285,159.14285714285714,9.571428571428571,Chestermere-Strathmore,Chestermere-Strathmore
1562,046,Leduc-Beaumont,79.66666666666667,143.66666666666666,9.5,Leduc-Devon,Leduc
1563,057,Morinville-St. Albert,154.4,115.6,7.4,St. Albert-Sturgeon,St Albert-Sturgeon
1564,041,Edmonton-Glenora,97.66666666666667,42.333333333333336,4.0,Edmonton-Glenora-Riverview,Edmonton-Glenora-Riverview
1565,023,Grande Prairie,71.66666666666667,147.33333333333334,13.666666666666666,Grande Prairie,Grande Prairie
1566,034,Airdrie-Cochrane,69.2,112.26666666666667,7.066666666666666,Cochrane-Springbank,Calgary-Nolan Hill-Cochrane
1567,007,Calgary-Currie,106.2,92.0,7.4,Calgary-Currie,Calgary-Currie
1568,025,Edmonton-North West,106.2,74.4,5.0,Edmonton-North West,Edmonton-North West
1569,037,Edmonton-Manning,93.83333333333333,63.333333333333336,3.6666666666666665,Edmonton-Manning,Edmonton-Manning
1570,013,Edmonton-South,105.66666666666667,71.66666666666667,4.5,Edmonton-Rutherford,Edmonton-Rutherford
1571,026,Bonnyville-Cold Lake-St. Paul,49.54545454545455,111.9090909090909,0.0,Cold Lake-Bonnyville-St. Paul,Cold Lake-Bonnyville-St. Paul
1572,047,St. Albert,110.6,93.0,3.4,St. Albert,St Albert
1573,021,Lethbridge-East,69.5,83.0,5.25,Lethbridge-East,Lethbridge-Little Bow
1574,020,Lethbridge-East,69.5,83.0,5.25,Lethbridge-East,Lethbridge-Little Bow
1575,018,West Yellowhead,50.916666666666664,119.25,0.0,West Yellowhead,West Yellowhead
1576,040,Grande Prairie-Wapiti,29.166666666666668,69.83333333333333,5.5,Grande Prairie-Wapiti,Grande Prairie-Wapiti
1577,056,Morinville-St. Albert,154.4,115.6,7.4,St. Albert-Sturgeon,St Albert-Sturgeon
1578,026,Peace River,8.0,17.0,3.0,Peace River,Peace River
