csduid,csd_name,csd_type,population_2021,splits_2019,splits_majority_2026_est,splits_minority_2026_est,splits_minority_2026_upper,majority_uncertain,minority_uncertain,eds_2019,eds_majority_2026_est,eds_minority_2026_est
4813019,"Barrhead, Town (T)",T,4320,1,1,1,1,False,False,Athabasca-Barrhead-Westlock,Athabasca-Barrhead-Westlock,Athabasca-Barrhead-Westlock
4802001,"Warner County No. 5, Municipal district (MD)",MD,4290,1,1,1,1,False,False,Taber-Warner,Taber-Warner,Lethbridge-Taber-Warner
4802008,"Raymond, Town (T)",T,4199,1,1,1,1,False,False,Taber-Warner,Taber-Warner,Lethbridge-Taber-Warner
4817076,"Northern Lights County, Municipal district (MD)",MD,4152,1,1,1,1,False,False,Peace River,Peace River,Peace River
4810042,"Vermilion, Town (T)",T,3948,1,1,1,1,False,False,Vermilion-Lloydminster-Wainwright,Lloydminster-Wainwright,Vermilion-Lloydminster-Wainwright
4817093,"High Level, Town (T)",T,3922,1,1,1,1,False,False,Peace River,Peace River,Peace River
4803022,"Claresholm, Town (T)",T,3804,1,1,0,1,False,True,Livingstone-Macleod,Livingstone-Macleod,
4810058,"Lamont County, Municipal district (MD)",MD,3754,1,1,1,1,False,False,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville
4803004,"Cardston, Town (T)",T,3724,1,1,0,1,False,True,Cardston-Siksika,Cardston-Siksika,
4807031,"Flagstaff County, Municipal district (MD)",MD,3694,1,1,1,1,False,False,Camrose,Camrose,Camrose
4803014,"Pincher Creek, Town (T)",T,3622,1,1,0,1,False,True,Livingstone-Macleod,Livingstone-Macleod,
4806026,"Crossfield, Town (T)",T,3599,1,1,1,1,False,False,Olds-Didsbury-Three Hills,Olds-Didsbury-Three Hills,Olds-Three Hills-Didsbury
4805802,"Siksika 146, Indian reserve (IRI)",IRI,3576,1,1,0,1,False,True,Cardston-Siksika,Cardston-Siksika,
4808009,"Penhold, Town (T)",T,3484,1,1,1,1,False,False,Innisfail-Sylvan Lake,Innisfail-Sylvan Lake,Red Deer-Sylvan Lake
4803019,"Fort Macleod, Town (T)",T,3297,1,1,0,1,False,True,Livingstone-Macleod,Livingstone-Macleod,
4808811,"Samson 137, Indian reserve (IRI)",IRI,3252,1,1,0,1,False,True,Maskwacis-Wetaskiwin,Wetaskiwin-Ponoka-Maskwacis,
4811064,"Gibbons, Town (T)",T,3218,1,1,1,1,False,False,Morinville-St. Albert,St. Albert-Sturgeon,St. Albert-Sturgeon
4813036,"Thorhild County, Municipal district (MD)",MD,3042,1,1,1,1,False,False,Athabasca-Barrhead-Westlock,Athabasca-Barrhead-Westlock,Athabasca-Barrhead-Westlock
4805048,"Three Hills, Town (T)",T,3042,1,1,1,1,False,False,Olds-Didsbury-Three Hills,Olds-Didsbury-Three Hills,Olds-Three Hills-Didsbury
4810026,"Minburn County No. 27, Municipal district (MD)",MD,3014,1,1,1,1,False,False,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville
4802013,"Coalhurst, Town (T)",T,2869,1,1,0,1,False,True,Cardston-Siksika,Cardston-Siksika,
4819068,"Fairview, Town (T)",T,2817,1,1,1,1,False,False,Central Peace-Notley,Central Peace-Notley,Central Peace-Notley
4813048,"Athabasca, Town (T)",T,2759,1,1,1,1,False,False,Athabasca-Barrhead-Westlock,Athabasca-Barrhead-Westlock,Athabasca-Barrhead-Westlock
4806011,"Black Diamond, Town (T)",T,2730,1,1,1,1,False,False,Highwood,Highwood,Highwood
4806036,"Sundre, Town (T)",T,2672,1,1,1,1,False,False,Rimbey-Rocky Mountain House-Sundre,Rimbey-Rocky Mountain House-Sundre,Rimbey-Rocky Mountain House-Sundre
4806009,"Turner Valley, Town (T)",T,2611,1,1,1,1,False,False,Highwood,Highwood,Highwood
4819074,"Grimshaw, Town (T)",T,2601,1,1,1,1,False,False,Peace River,Peace River,Peace River
4817835,"Fox Lake 162, Indian reserve (IRI)",IRI,2488,1,1,1,1,False,False,Peace River,Peace River,Peace River
4803002,"Magrath, Town (T)",T,2481,1,1,0,1,False,True,Cardston-Siksika,Cardston-Siksika,
4808044,"Rimbey, Town (T)",T,2470,1,1,1,1,False,False,Rimbey-Rocky Mountain House-Sundre,Rimbey-Rocky Mountain House-Sundre,Rimbey-Rocky Mountain House-Sundre
4819014,"Sexsmith, Town (T)",T,2427,1,1,1,1,False,False,Grande Prairie-Wapiti,Grande Prairie-Wapiti,Grande Prairie-Wapiti
4804011,"Hanna, Town (T)",T,2394,1,1,1,1,False,False,Drumheller-Stettler,Drumheller-Stettler,Drumheller-Stettler
4817021,"High Prairie, Town (T)",T,2380,1,1,1,1,False,False,Lesser Slave Lake,Lesser Slave Lake,Lesser Slave Lake
4819009,"Beaverlodge, Town (T)",T,2271,1,1,1,1,False,False,Grande Prairie-Wapiti,Grande Prairie-Wapiti,Grande Prairie-Wapiti
4811801,"Ermineskin 138, Indian reserve (IRI)",IRI,2256,1,1,0,1,False,True,Maskwacis-Wetaskiwin,Wetaskiwin-Ponoka-Maskwacis,
4811019,"Calmar, Town (T)",T,2183,1,1,1,1,False,False,Drayton Valley-Devon,Drayton Valley-Devon,Stony Plain-Drayton Valley
4803026,"Nanton, Town (T)",T,2167,1,1,0,1,False,True,Livingstone-Macleod,Livingstone-Macleod,
4811065,"Redwater, Town (T)",T,2115,1,1,1,1,False,False,Morinville-St. Albert,St. Albert-Sturgeon,St. Albert-Sturgeon
4810018,"Tofield, Town (T)",T,2045,1,1,1,1,False,False,Camrose,Camrose,Camrose
4801014,"Bow Island, Town (T)",T,2036,1,1,1,1,False,False,Taber-Warner,Taber-Warner,Lethbridge-Taber-Warner
4802018,"Picture Butte, Town (T)",T,1930,1,1,0,1,False,True,Cardston-Siksika,Cardston-Siksika,
4807002,"Provost, Town (T)",T,1900,1,1,1,1,False,False,Drumheller-Stettler,Drumheller-Stettler,Drumheller-Stettler
4811011,"Millet, Town (T)",T,1890,1,1,0,1,False,True,Maskwacis-Wetaskiwin,Wetaskiwin-Ponoka-Maskwacis,
4811804,"Enoch Cree Nation, Indian reserve (IRI)",IRI,1825,1,1,1,1,False,False,Drayton Valley-Devon,Drayton Valley-Devon,Stony Plain-Drayton Valley
4805031,"Starland County, Municipal district (MD)",MD,1821,1,1,1,1,False,False,Drumheller-Stettler,Drumheller-Stettler,Drumheller-Stettler
4805006,"Vulcan, Town (T)",T,1769,1,1,0,1,False,True,Cardston-Siksika,Cardston-Siksika,
4810064,"Lamont, Town (T)",T,1744,1,1,1,1,False,False,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville
4818018,"Valleyview, Town (T)",T,1673,1,1,1,1,False,False,Central Peace-Notley,Central Peace-Notley,Central Peace-Notley
4818002,"Fox Creek, Town (T)",T,1639,1,1,1,1,False,False,Central Peace-Notley,Central Peace-Notley,Central Peace-Notley
4819066,"Fairview No. 136, Municipal district (MD)",MD,1580,1,1,1,1,False,False,Central Peace-Notley,Central Peace-Notley,Central Peace-Notley
4803801,"Piikani 147, Indian reserve (IRI)",IRI,1550,1,1,0,1,False,True,Livingstone-Macleod,Livingstone-Macleod,
4811066,"Bon Accord, Town (T)",T,1461,1,1,1,1,False,False,Morinville-St. Albert,St. Albert-Sturgeon,St. Albert-Sturgeon
4802014,"Nobleford, Town (T)",T,1438,1,1,0,1,False,True,Cardston-Siksika,Cardston-Siksika,
4819011,"Wembley, Town (T)",T,1432,1,1,1,1,False,False,Grande Prairie-Wapiti,Grande Prairie-Wapiti,Grande Prairie-Wapiti
4810052,"Two Hills, Town (T)",T,1416,1,1,1,1,False,False,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville
4812016,"Elk Point, Town (T)",T,1399,1,1,1,1,False,False,Bonnyville-Cold Lake-St. Paul,Cold Lake-Bonnyville-St. Paul,Bonnyville-Cold Lake-St. Paul
4810066,"Bruderheim, Town (T)",T,1329,1,1,1,1,False,False,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville,Fort Saskatchewan-Vegreville
4811803,"Louis Bull 138B, Indian reserve (IRI)",IRI,1321,1,1,0,1,False,True,Maskwacis-Wetaskiwin,Wetaskiwin-Ponoka-Maskwacis,
4818816,"Sturgeon Lake 154, Indian reserve (IRI)",IRI,1291,1,1,1,1,False,False,Central Peace-Notley,Central Peace-Notley,Central Peace-Notley
4802029,"Vauxhall, Town (T)",T,1286,1,1,0,1,False,True,Cardston-Siksika,Cardston-Siksika,
4808006,"Bowden, Town (T)",T,1280,1,1,1,1,False,False,Innisfail-Sylvan Lake,Innisfail-Sylvan Lake,Red Deer-Sylvan Lake
4813002,"Mayerthorpe, Town (T)",T,1259,1,1,1,1,False,False,Lac Ste. Anne-Parkland,Lac Ste. Anne-Parkland,Lac Ste. Anne-Parkland
4804020,"Special Area No. 4, Special area (SA)",SA,1236,1,1,1,1,False,False,Drumheller-Stettler,Drumheller-Stettler,Drumheller-Stettler
4811069,"Legal, Town (T)",T,1232,1,1,1,1,False,False,Morinville-St. Albert,St. Albert-Sturgeon,St. Albert-Sturgeon
4802039,"Bassano, Town (T)",T,1216,1,1,1,1,False,False,Brooks-Medicine Hat,Medicine Hat-Brooks,Medicine Hat-Brooks
4817024,"Swan Hills, Town (T)",T,1201,1,1,1,1,False,False,Athabasca-Barrhead-Westlock,Athabasca-Barrhead-Westlock,Athabasca-Barrhead-Westlock
4806022,"Irricana, Town (T)",T,1179,1,1,1,1,False,False,Olds-Didsbury-Three Hills,Olds-Didsbury-Three Hills,Olds-Three Hills-Didsbury
4802009,"Stirling, Village (VL)",VL,1164,1,1,1,1,False,False,Taber-Warner,Taber-Warner,Lethbridge-Taber-Warner
4804012,"Special Area No. 3, Special area (SA)",SA,1142,1,1,1,1,False,False,Drumheller-Stettler,Drumheller-Stettler,Drumheller-Stettler
4812029,"Smoky Lake, Town (T)",T,1127,1,1,1,1,False,False,Athabasca-Barrhead-Westlock,Athabasca-Barrhead-Westlock,Athabasca-Barrhead-Westlock
4817078,"Manning, Town (T)",T,1126,1,1,1,1,False,False,Peace River,Peace River,Peace River
4812808,"White Fish Lake 128, Indian reserve (IRI)",IRI,1093,1,1,1,1,False,False,Fort McMurray-Lac La Biche,Fort McMurray-Lac La Biche,Fort McMurray-Lac La Biche
4811805,"Alexander 134, Indian reserve (IRI)",IRI,1077,1,1,1,1,False,False,Lac Ste. Anne-Parkland,Lac Ste. Anne-Parkland,Lac Ste. Anne-Parkland
4802036,"Duchess, Village (VL)",VL,1053,1,1,1,1,False,False,Brooks-Medicine Hat,Medicine Hat-Brooks,Medicine Hat-Brooks
4808026,"Bentley, Town (T)",T,1042,1,1,1,1,False,False,Rimbey-Rocky Mountain House-Sundre,Rimbey-Rocky Mountain House-Sundre,Rimbey-Rocky Mountain House-Sundre
4812811,"Kehewin 123, Indian reserve (IRI)",IRI,1038,1,1,1,1,False,False,Bonnyville-Cold Lake-St. Paul,Cold Lake-Bonnyville-St. Paul,Bonnyville-Cold Lake-St. Paul
4808024,"Eckville, Town (T)",T,1014,1,1,1,1,False,False,Rimbey-Rocky Mountain House-Sundre,Rimbey-Rocky Mountain House-Sundre,Rimbey-Rocky Mountain House-Sundre
4819046,"Falher, Town (T)",T,1001,1,1,1,1,False,False,Central Peace-Notley,Central Peace-Notley,Central Peace-Notley
