OBJECTID,va_pop_total_est,va_visible_min_est,va_indigenous_est,VA_NUMBER,va_ndp,va_ucp,va_other,pct_visible_min,pct_indigenous
180,0.0,0.0,0.0,006,27.571428571428573,78.28571428571429,3.857142857142857,0.0,0.0
181,0.0,0.0,0.0,038,73.83333333333333,175.16666666666666,12.333333333333334,0.0,0.0
182,0.0,0.0,0.0,028,17.0,9.0,1.0,0.0,0.0
183,0.0,0.0,0.0,052,76.8,128.0,11.4,0.0,0.0
184,0.0,0.0,0.0,023,45.77777777777778,132.66666666666666,8.555555555555555,0.0,0.0
185,0.0,0.0,0.0,048,105.0,99.8,9.0,0.0,0.0
186,0.0,0.0,0.0,042,78.0,93.25,4.25,0.0,0.0
187,0.0,0.0,0.0,004,20.5,6.0,0.0,0.0,0.0
188,0.0,0.0,0.0,055,8.142857142857142,104.71428571428571,21.571428571428573,0.0,0.0
189,0.0,0.0,0.0,012,115.8,59.4,3.0,0.0,0.0
190,0.0,0.0,0.0,008,132.2,78.0,5.0,0.0,0.0
191,0.0,0.0,0.0,017,112.625,147.125,6.25,0.0,0.0
192,0.0,0.0,0.0,037,47.666666666666664,197.33333333333334,0.0,0.0,0.0
193,0.0,0.0,0.0,023,4.0,211.0,11.0,0.0,0.0
194,0.0,0.0,0.0,034,71.83333333333333,99.33333333333333,8.333333333333334,0.0,0.0
195,0.0,0.0,0.0,003,160.0,116.0,0.0,0.0,0.0
196,0.0,0.0,0.0,015,72.8,94.4,6.0,0.0,0.0
197,0.0,0.0,0.0,010,97.4,131.9,5.5,0.0,0.0
198,0.0,0.0,0.0,038,105.66666666666667,184.33333333333334,5.0,0.0,0.0
199,0.0,0.0,0.0,001,116.0,142.2,8.4,0.0,0.0
200,0.0,0.0,0.0,034,72.125,63.375,1.625,0.0,0.0
201,0.0,0.0,0.0,041,89.75,78.0,9.25,0.0,0.0
202,0.0,0.0,0.0,037,82.0,72.5,6.0,0.0,0.0
203,0.0,0.0,0.0,028,91.5,112.16666666666667,5.5,0.0,0.0
204,0.0,0.0,0.0,014,96.5,166.5,5.333333333333333,0.0,0.0
205,0.0,0.0,0.0,039,22.5,131.5,10.166666666666666,0.0,0.0
206,0.0,0.0,0.0,032,99.2,57.4,9.2,0.0,0.0
207,0.0,0.0,0.0,018,80.8,134.0,30.0,0.0,0.0
208,0.0,0.0,0.0,032,141.25,110.75,6.25,0.0,0.0
209,0.0,0.0,0.0,037,135.25,120.5,7.75,0.0,0.0
210,0.0,0.0,0.0,005,73.75,77.5,3.5,0.0,0.0
211,0.0,0.0,0.0,031,70.6,50.8,6.0,0.0,0.0
212,0.0,0.0,0.0,015,54.75,63.0,1.5,0.0,0.0
213,0.0,0.0,0.0,053,88.0,63.5,0.0,0.0,0.0
214,0.0,0.0,0.0,031,40.57142857142857,49.857142857142854,7.142857142857143,0.0,0.0
215,0.0,0.0,0.0,024,104.16666666666667,124.5,6.833333333333333,0.0,0.0
216,0.0,0.0,0.0,006,160.8,91.4,7.8,0.0,0.0
217,0.0,0.0,0.0,044,19.454545454545453,38.72727272727273,2.6363636363636362,0.0,0.0
218,0.0,0.0,0.0,002,28.6,203.6,19.6,0.0,0.0
219,0.0,0.0,0.0,041,76.83333333333333,113.83333333333333,4.5,0.0,0.0
220,0.0,0.0,0.0,005,158.0,132.0,17.333333333333332,0.0,0.0
221,0.0,0.0,0.0,026,95.2,75.2,13.0,0.0,0.0
222,0.0,0.0,0.0,018,150.2,71.0,11.2,0.0,0.0
223,0.0,0.0,0.0,013,113.33333333333333,90.0,7.666666666666667,0.0,0.0
224,0.0,0.0,0.0,019,101.8,78.2,4.4,0.0,0.0
225,0.0,0.0,0.0,026,30.357142857142858,157.71428571428572,13.357142857142858,0.0,0.0
226,0.0,0.0,0.0,025,59.75,111.5,10.0,0.0,0.0
227,0.0,0.0,0.0,048,129.66666666666666,125.0,4.333333333333333,0.0,0.0
228,0.0,0.0,0.0,002,116.0,142.2,8.4,0.0,0.0
229,0.0,0.0,0.0,003,105.66666666666667,146.16666666666666,5.166666666666667,0.0,0.0
230,0.0,0.0,0.0,036,21.375,13.75,0.625,0.0,0.0
231,0.0,0.0,0.0,044,69.2,139.4,6.4,0.0,0.0
232,0.0,0.0,0.0,022,134.25,95.25,6.5,0.0,0.0
