parent_ed_2019,VA_NUMBER,election_day_ndp,election_day_ucp,apportioned_advance_ndp,apportioned_advance_ucp,full_ndp,full_ucp,pct_advance_ndp
Red Deer-South,35,127.66666666666667,176.0,74.80294829796324,84.88047761477475,202.4696149646299,260.88047761477475,36.95
Grande Prairie-Wapiti,48,29.166666666666668,69.83333333333333,9.181257105733312,29.224053922364792,38.34792377239998,99.05738725569812,23.94
St. Albert,44,149.66666666666666,114.0,133.46038697348516,78.85436738593835,283.1270536401518,192.85436738593836,47.14
Rimbey-Rocky Mountain House-Sundre,43,19.75,142.0,19.50738476011289,84.35954844778927,39.257384760112885,226.35954844778928,49.69
Maskwacis-Wetaskiwin,9,52.5,108.5,27.107922776664207,58.19031543411753,79.60792277666421,166.69031543411754,34.05
Cardston-Siksika,35,50.0,106.6,12.028670313721111,50.17773808194708,62.02867031372111,156.77773808194706,19.39
Calgary-Lougheed,21,95.2,140.6,64.99597707870424,101.94744474330487,160.19597707870423,242.54744474330488,40.57
Calgary-Elbow,48,104.0,115.4,117.21569222022174,105.07415900691745,221.21569222022174,220.47415900691746,52.99
Calgary-Fish Creek,4,126.33333333333333,153.83333333333334,56.33469582885143,64.99384486673837,182.66802916218475,218.82717820007173,30.84
Red Deer-North,26,83.66666666666667,91.0,54.82370862761392,71.47763467663758,138.4903752942806,162.4776346766376,39.59
Calgary-North,7,78.2,102.4,42.447446457990125,42.397858319604616,120.64744645799013,144.79785831960461,35.18
Calgary-South East,1,74.2,136.8,81.67026032079937,115.29266368656323,155.8702603207994,252.09266368656324,52.4
Cypress-Medicine Hat,14,87.4,136.2,45.80142247510668,71.83256719323201,133.20142247510668,208.032567193232,34.39
Calgary-Peigan,1,105.66666666666667,146.16666666666666,64.45002514272191,79.89210814328393,170.11669180938858,226.0587748099506,37.89
Camrose,11,59.2,88.8,35.76643435675269,70.4317197212281,94.9664343567527,159.2317197212281,37.66
Calgary-East,40,65.875,63.25,28.911567564347,33.912237845567205,94.786567564347,97.1622378455672,30.5
Chestermere-Strathmore,35,57.833333333333336,113.66666666666667,53.66450082508251,143.57111179867985,111.49783415841586,257.23777846534654,48.13
Calgary-Foothills,14,111.75,98.5,108.20978968452678,100.52413620430646,219.95978968452678,199.02413620430644,49.2
Calgary-Klein,30,113.5,90.25,60.56443225867447,48.601801077810336,174.06443225867446,138.85180107781034,34.79
Cypress-Medicine Hat,33,95.8,165.8,53.58520625889048,84.04024855880813,149.3852062588905,249.84024855880813,35.87
Strathcona-Sherwood Park,26,94.0,171.0,66.1395112754695,78.39895584076572,160.1395112754695,249.39895584076572,41.3
Calgary-North East,42,84.75,59.375,78.08260959470637,58.39804332092638,162.83260959470635,117.77304332092638,47.95
Calgary-Buffalo,56,67.77777777777777,58.333333333333336,77.64346702044428,38.77668923132747,145.42124479822206,97.1100225646608,53.39
Rimbey-Rocky Mountain House-Sundre,3,21.9,129.2,18.222972718720598,78.80511759172153,40.1229727187206,208.0051175917215,45.42
Calgary-East,52,49.57142857142857,56.857142857142854,23.82975282582051,27.951450360887918,73.40118139724908,84.80859321803078,32.47
Airdrie-East,67,75.75,108.5,55.05057320277048,90.7535029058196,130.80057320277047,199.2535029058196,42.09
Calgary-Varsity,44,143.25,96.25,107.41672710788758,72.21912964641886,250.6667271078876,168.46912964641888,42.85
Edmonton-South West,76,59.22222222222222,50.111111111111114,50.35183338872273,37.10756619031793,109.57405561094495,87.21867730142904,45.95
Chestermere-Strathmore,41,64.0,95.66666666666667,49.961702420242034,133.66484460946097,113.96170242024203,229.33151127612763,43.84
Edmonton-Riverview,21,152.4,44.8,61.66628209899515,20.200707108299216,214.06628209899515,65.00070710829921,28.81
Calgary-Acadia,30,78.0,78.875,64.22568145376805,65.95848922145021,142.22568145376806,144.8334892214502,45.16
Calgary-Shaw,65,82.6,110.3,43.15620169038503,56.79841074911507,125.75620169038503,167.09841074911506,34.32
Calgary-Currie,6,108.25,106.5,69.21210054559626,46.5319563522993,177.46210054559626,153.0319563522993,39.0
Bonnyville-Cold Lake-St. Paul,52,44.833333333333336,116.33333333333333,30.91411900065746,85.00190664036813,75.7474523339908,201.33523997370145,40.81
Highwood,6,27.571428571428573,78.28571428571429,31.35937662337662,67.62881385281383,58.93080519480519,145.9145281385281,53.21
Brooks-Medicine Hat,38,73.83333333333333,175.16666666666666,51.0355229771638,122.75669579926699,124.86885631049714,297.9233624659337,40.87
Fort McMurray-Lac La Biche,28,17.0,9.0,3.8493615645708754,9.476321318894456,20.849361564570877,18.476321318894456,18.46
Leduc-Beaumont,52,76.8,128.0,83.55465600261162,107.74021056067902,160.35465600261162,235.74021056067903,52.11
