plan_idx,n,eg,mm,ndp_seats,pop_min,pop_max,attempts,accepted
102,87,0.026833392070877652,-0.01787703913348382,29,7738.850000000001,12861.692857142858,1213,500
103,87,0.02772449266375504,-0.017637104182787633,29,7785.566666666666,12866.098809523817,1163,500
104,87,0.03284246590620142,-0.015562557298903934,28,7746.654761904763,12861.325396825401,1137,500
105,87,0.02356342093406062,-0.013000566927371504,29,7734.390476190477,12877.530519480519,1082,500
106,87,0.03307890310981846,-0.02147505676313266,28,7791.233333333333,12861.458333333341,1091,500
107,87,0.02128046359536233,-0.018276175574098052,29,7763.866666666666,12861.511904761905,1059,500
108,87,0.02402848845249636,-0.0209751269289028,29,7742.754761904762,12870.919047619052,1083,500
109,87,0.01119061745798778,-0.026460193516781638,30,7803.764665889666,12875.48888888889,1088,500
110,87,0.012789914391887878,-0.021204386915970486,30,7743.875777000777,12826.524603174606,1085,500
111,87,0.014845356685596413,-0.013230194311481647,30,7735.114285714288,12874.291269841275,1209,500
112,87,0.02718916314613154,-0.009141885133251704,29,7745.82857142857,12876.599633699632,1088,500
113,87,0.016735739044704573,-0.020889501317243042,30,7745.68815073815,12861.717857142856,1039,500
114,87,0.014548694911246825,-0.020623762636233833,30,7736.477272727272,12879.991269841274,1099,500
115,87,0.014225266661015997,-0.01902857788296186,30,7736.477272727272,12856.93116883117,1074,500
116,87,0.018933935876445856,-0.01522956632223299,30,7742.920454545454,12810.410317460319,1075,500
117,87,0.005889739963686817,-0.011874455407251516,31,7777.083333333331,12841.969841269845,1110,500
118,87,0.0066492387168150535,-0.009484592822450066,31,7759.1414141414125,12857.677777777784,1039,500
119,87,0.007323976962986426,-0.010850323808779094,31,7731.65,12843.52619047619,1133,500
120,87,0.01929305276118524,-0.012999435624109157,30,7757.619047619046,12873.579653679652,1181,500
121,87,0.016242789780559447,-0.01964153650566197,30,7771.628787878787,12878.845726495729,1120,500
122,87,0.015535708709365178,-0.0205191166772567,30,7771.582575757575,12881.271428571428,1110,500
123,87,0.01570746026293595,-0.023747992521474748,30,7733.118686868687,12882.366666666665,1132,500
124,87,0.017046899326822934,-0.016911545694595742,30,7734.792929292928,12880.566233766236,1124,500
125,87,0.017017902311285128,-0.018588835447729657,30,7734.792929292928,12862.416666666672,1124,500
126,87,0.017157311039832954,-0.020215685604535794,30,7734.792929292928,12847.946536796539,1072,500
127,87,0.018191166170743445,-0.01708270875233986,30,7743.266161616162,12874.064285714285,1109,500
128,87,0.02055553820691381,-0.01241971413939802,30,7749.704761904762,12867.067857142856,1160,500
129,87,0.009579052555975293,-0.013556708666130457,31,7747.450757575757,12876.357539682538,1137,500
130,87,0.008563041742319174,-0.016567645862058278,31,7777.066666666666,12829.746103896106,1106,500
131,87,0.006441798528736076,-0.014147879758614812,31,7782.785858585858,12869.336111111119,1073,500
132,87,0.017578883034961506,-0.014452947095552948,30,7746.483333333334,12859.363636363638,1090,500
133,87,0.02018749916354775,-0.01478160522822014,30,7752.083333333333,12875.127777777785,1032,500
134,87,0.008120279620451535,-0.020693330941620458,31,7773.141414141413,12858.56147186147,1072,500
