turn_id,timestamp,rows_emitted
hansard_r2-00987,2026-05-10T06:18:13.458200,1
hansard_r2-00994,2026-05-10T06:18:47.756873,1
hansard_r2-01006,2026-05-10T06:19:03.372409,1
hansard_r2-01020,2026-05-10T06:19:26.963577,1
hansard_r2-01024,2026-05-10T06:20:25.411426,2
hansard_r2-01025,2026-05-10T06:20:42.143278,1
hansard_r2-01030,2026-05-10T06:21:32.278722,2
hansard_r2-01063,2026-05-10T06:22:13.040880,1
hansard_r2-01081,2026-05-10T06:23:19.464492,1
hansard_r2-01244,2026-05-10T06:24:33.424926,1
hansard_r2-01246,2026-05-10T06:25:17.990909,2
hansard_r2-01247,2026-05-10T06:25:41.232720,1
hansard_r2-01248,2026-05-10T06:26:11.805399,2
hansard_r2-01250,2026-05-10T06:26:59.397200,1
hansard_r2-01251,2026-05-10T06:27:13.597769,0
hansard_r2-01280,2026-05-10T06:28:10.828741,1
hansard_r2-01282,2026-05-10T06:29:19.940809,1
hansard_r2-01285,2026-05-10T06:30:00.824521,1
hansard_r2-01288,2026-05-10T06:31:10.726872,3
hansard_r2-01289,2026-05-10T06:31:35.822569,1
hansard_r2-01290,2026-05-10T06:32:03.137061,1
hansard_r2-01291,2026-05-10T06:32:25.394756,1
hansard_r2-01293,2026-05-10T06:32:53.198976,1
hansard_r2-01294,2026-05-10T06:33:20.698430,2
hansard_r2-01295,2026-05-10T06:33:48.233103,1
hansard_r2-01296,2026-05-10T06:34:08.047663,1
hansard_r2-01297,2026-05-10T06:34:29.884722,1
hansard_r2-01300,2026-05-10T06:34:46.355934,0
hansard_r2-01316,2026-05-10T06:35:10.774202,0
hansard_r2-01319,2026-05-10T06:35:41.541698,2
hansard_r2-01321,2026-05-10T06:35:57.192920,1
hansard_r2-01322,2026-05-10T06:36:22.821098,2
hansard_r2-01323,2026-05-10T06:36:51.450464,2
hansard_r2-01330,2026-05-10T06:37:28.172843,0
hansard_r2-01333,2026-05-10T06:37:53.965321,1
hansard_r2-01336,2026-05-10T06:38:15.477193,1
hansard_r2-01338,2026-05-10T06:38:54.556735,2
hansard_r2-01339,2026-05-10T06:39:23.004605,1
hansard_r2-01342,2026-05-10T06:39:37.957835,0
